# z uT vT wT
5.050000000000000000e+02 -5.852549072094200000e-02 8.206048921953727759e-02 -2.421241663436177541e-02
5.150000000000000000e+02 -7.773221239793748349e-02 1.158287481803836894e-01 -2.441804357521044216e-02
5.250000000000000000e+02 -8.968863123231356205e-02 1.422520884609392577e-01 -1.669367914087435331e-02
5.350000000000000000e+02 -9.770762123267276444e-02 1.612421405910876571e-01 -7.723030783378979393e-03
5.450000000000000000e+02 -1.014518565094109093e-01 1.725024810044571422e-01 -2.066209832155153220e-03
5.550000000000000000e+02 -1.016127011451970208e-01 1.759151951435151129e-01 -7.529111711542871288e-04
5.650000000000000000e+02 -9.865900037256708499e-02 1.658138003022568974e-01 3.443120578068405244e-04
5.750000000000000000e+02 -8.951533190576090038e-02 1.438112352757609791e-01 1.670213981507015239e-03
5.850000000000000000e+02 -7.698324710650204794e-02 1.183661792928219214e-01 2.013663135480460789e-03
5.950000000000000000e+02 -6.432701325287994154e-02 9.951698099054614999e-02 8.768675949921870627e-04
6.050000000000000000e+02 -5.293167985580639334e-02 8.847392797424875888e-02 -8.286682763634729745e-04
6.150000000000000000e+02 -4.836515741518777195e-02 8.396956465222357724e-02 -9.915166611207070196e-04
6.250000000000000000e+02 -4.718852957135715592e-02 8.408562324145635314e-02 -7.273253706552396483e-05
6.350000000000000000e+02 -4.492761183026843658e-02 8.402146118998819746e-02 4.949839916954564944e-04
6.450000000000000000e+02 -4.077080815592128843e-02 8.071539696769969296e-02 4.130138964590071224e-04
6.550000000000000000e+02 -3.487684707611685142e-02 7.496611718033438510e-02 1.846165968655757582e-04
6.650000000000000000e+02 -2.956380252962322389e-02 6.955983573951807220e-02 4.788530576903157450e-04
6.750000000000000000e+02 -2.554751337180532350e-02 6.631713585391364740e-02 1.035192591230571979e-03
6.850000000000000000e+02 -2.174452884290292362e-02 6.449170139898104115e-02 1.458406592020961750e-03
6.950000000000000000e+02 -1.597890403453063393e-02 6.109157092734807115e-02 1.259567536222855463e-03
7.050000000000000000e+02 -7.937684466818124493e-03 5.468794333237806532e-02 5.178275123529876194e-04
7.150000000000000000e+02 -1.314892474078933459e-03 4.857399044834767587e-02 4.918147758412215942e-04
7.250000000000000000e+02 2.278193578450854462e-03 4.549489475415378903e-02 9.064534421272096160e-04
7.350000000000000000e+02 4.457895830763106658e-03 4.476697894539510836e-02 1.101733705964083338e-03
7.450000000000000000e+02 7.074846359352718675e-03 4.366519899053041692e-02 1.353459404489656395e-03
7.550000000000000000e+02 1.030363865003362973e-02 4.076401706047245999e-02 1.556044646385301104e-03
7.650000000000000000e+02 1.318496119805534668e-02 3.788388193591708114e-02 1.389246961559283816e-03
7.750000000000000000e+02 1.537779153161670034e-02 3.579244518915588452e-02 8.493623734541167966e-04
7.850000000000000000e+02 1.713926046196290187e-02 3.317772294668312749e-02 2.577109701196207280e-04
7.950000000000000000e+02 1.835779780002911449e-02 2.898593238651315379e-02 -1.702286959135013557e-04
8.050000000000000000e+02 1.908159288387151903e-02 2.419350144884426998e-02 -4.285777043661966892e-04
8.150000000000000000e+02 1.914552132420236502e-02 2.090810591106675304e-02 -4.389440281060877466e-04
8.250000000000000000e+02 1.872549692881618141e-02 1.956195763523681935e-02 -2.045255262024472744e-05
8.350000000000000000e+02 1.816699777861026724e-02 1.857574809239535135e-02 6.228767199303087993e-04
8.450000000000000000e+02 1.725782558156364194e-02 1.666744626497407636e-02 9.078453275124692993e-04
