# z uu uv uw vv vw ww TKE
1.550000000000000000e+02 2.164968764616657104e-01 4.405418026706384160e-02 2.140632869380669837e-02 4.174621557985544462e-01 1.118882263473637839e-01 1.689798612544978207e-01 4.014694467573590164e-01
1.650000000000000000e+02 2.120924423006153581e-01 4.556739688225237145e-02 2.167923662741390312e-02 4.126858661445564347e-01 1.073321774902226272e-01 1.627041696517502745e-01 3.937412390484610336e-01
1.750000000000000000e+02 2.078092995828257628e-01 4.738043477986715601e-02 2.177327712989588285e-02 4.079958023789975741e-01 1.024514558768624406e-01 1.561773855989490589e-01 3.859912437803861840e-01
1.850000000000000000e+02 2.035603975700928658e-01 4.933540290779724752e-02 2.173681791865611501e-02 4.029313136814778318e-01 9.720988792272594603e-02 1.494526820109662313e-01 3.779721966312684645e-01
1.950000000000000000e+02 1.994938076939990201e-01 5.158795942922298622e-02 2.206702066449307831e-02 3.974609344278303702e-01 9.192320863933670094e-02 1.425929248401546501e-01 3.697738334809920202e-01
2.050000000000000000e+02 1.956023977438522132e-01 5.434130429210450031e-02 2.274470418017428622e-02 3.916444879603674933e-01 8.654681006084588568e-02 1.356120246536402230e-01 3.614294551789299370e-01
2.150000000000000000e+02 1.912955148914977088e-01 5.591405131625912239e-02 2.241792798546587279e-02 3.832056168853475997e-01 7.978635972263503628e-02 1.284315603371834202e-01 3.514663460570143783e-01
2.250000000000000000e+02 1.863068756084118593e-01 5.547398003435823760e-02 2.087770777106542561e-02 3.710614065868447775e-01 7.149477686165162105e-02 1.209575942658554365e-01 3.391629382305559881e-01
2.350000000000000000e+02 1.806298516276373112e-01 5.346132325737952551e-02 1.865886774087159236e-02 3.557469520516294281e-01 6.206108106292432258e-02 1.132418771417244840e-01 3.248093404104956394e-01
2.450000000000000000e+02 1.741342587054319213e-01 5.025917260313119556e-02 1.590629907150126893e-02 3.368487842260410869e-01 5.190223128171173733e-02 1.053613819119733758e-01 3.081722124217232128e-01
2.550000000000000000e+02 1.672948221996943818e-01 4.661125638835502544e-02 1.332812672828533745e-02 3.162721167898267516e-01 4.304576391918012862e-02 9.733486770418747769e-02 2.904509033468543056e-01
2.650000000000000000e+02 1.603123441930787985e-01 4.306967956949092624e-02 1.102331506973355628e-02 2.955369698131816159e-01 3.584856478676540226e-02 8.919117286805165745e-02 2.725202434371560289e-01
2.750000000000000000e+02 1.533285520433872173e-01 3.960632575569367902e-02 9.185430312899896602e-03 2.739371479875660764e-01 2.955872916606881035e-02 8.103365318104395476e-02 2.541496766059986312e-01
2.850000000000000000e+02 1.462486968534831289e-01 3.633167750743202667e-02 7.847982805140053461e-03 2.509804571705050447e-01 2.410707489969557762e-02 7.308510195736128701e-02 2.351571279906747303e-01
2.950000000000000000e+02 1.390816581491805259e-01 3.338046968334307946e-02 7.132787839729180096e-03 2.268106522245214862e-01 1.927547439420703237e-02 6.565501260830661212e-02 2.157736614910042983e-01
3.050000000000000000e+02 1.321587472299605437e-01 3.081196125063978206e-02 6.979144595333369033e-03 2.025838263737638201e-01 1.509290119277265779e-02 5.893524348932599466e-02 1.968389085465251931e-01
3.150000000000000000e+02 1.249076810968667989e-01 2.799683196847196909e-02 5.460431565278225235e-03 1.795464810118516941e-01 1.177162816929869411e-02 5.289904946816632869e-02 1.786766057884424108e-01
3.250000000000000000e+02 1.172193316434611832e-01 2.465671313332360587e-02 2.788791163125239978e-03 1.584703731742360677e-01 9.324734533282034304e-03 4.735683438212227175e-02 1.615232695999097856e-01
3.350000000000000000e+02 1.097899001764370830e-01 2.096874402708444329e-02 4.932262342878387332e-04 1.392907835117482285e-01 7.669239411695146294e-03 4.205591106399843293e-02 1.455682973760918653e-01
3.450000000000000000e+02 1.032658521174338456e-01 1.724959118083478973e-02 5.840163213550695351e-04 1.218682831503030417e-01 6.108002215741793750e-03 3.694538343931880880e-02 1.310397593535278515e-01
3.550000000000000000e+02 9.769838987079618176e-02 1.342156051329098342e-02 2.620659617759949107e-03 1.060595211424028989e-01 4.511880993227177818e-03 3.231178532859992070e-02 1.180348481708994868e-01
3.650000000000000000e+02 9.130416356620923990e-02 9.972527761612648076e-03 2.645511113007497153e-03 9.136976264064955444e-02 3.739029376603968981e-03 2.838877548788046323e-02 1.055313508473696288e-01
3.750000000000000000e+02 8.297716696904251787e-02 7.202687374342405316e-03 1.021444902998962538e-03 7.755477623859102776e-02 3.562527829365677925e-03 2.510734496040513755e-02 9.281964408401933986e-02
3.850000000000000000e+02 7.431328111524218571e-02 4.843165591085184241e-03 -1.875121692092595899e-04 6.512070989040427693e-02 3.626909718252599099e-03 2.228030095386836565e-02 8.085714597975741935e-02
3.950000000000000000e+02 6.887196267806938721e-02 1.968728962608251674e-03 -7.004725569280349372e-05 5.538343104767947528e-02 3.283447725479045863e-03 1.983199945395765218e-02 7.204369658985326774e-02
4.050000000000000000e+02 6.755515143226531460e-02 -2.028631228854327773e-03 9.356002441331860795e-04 4.868862408195866881e-02 2.527853134408654823e-03 1.780913292251342858e-02 6.702645421836871120e-02
4.150000000000000000e+02 6.576812891796141036e-02 -4.806614026329626699e-03 8.573706064160043112e-04 4.294657150975674659e-02 2.390727382358950534e-03 1.620496854393833550e-02 6.245983448582825143e-02
4.250000000000000000e+02 6.060483743288688080e-02 -4.854450702331155644e-03 1.825414265256408556e-04 3.738605925995475143e-02 2.554610110388186566e-03 1.489592120121551247e-02 5.644340894702857409e-02
4.350000000000000000e+02 5.437467272936680890e-02 -4.248836345436286105e-03 -1.582404364558493565e-04 3.316556041807816602e-02 2.726953414609393101e-03 1.379837177602363275e-02 5.066930246173430297e-02
4.450000000000000000e+02 5.043563431856069174e-02 -5.920982169886991608e-03 -1.687694750609038466e-04 3.120721940262398061e-02 2.593142358826454330e-03 1.289474235498980562e-02 4.726879803808723551e-02
4.550000000000000000e+02 4.928200749363623179e-02 -1.002682755259925139e-02 7.644468774904292555e-05 3.149924288427189550e-02 2.102639505645580859e-03 1.212527738172888836e-02 4.645326387981850436e-02
4.650000000000000000e+02 4.726220164376167959e-02 -1.250935115922328922e-02 2.818728973196037063e-05 3.133649555132010656e-02 2.055739661191939311e-03 1.142813454006835067e-02 4.501341586757506841e-02
4.750000000000000000e+02 4.291253415938414695e-02 -1.186570055902428332e-02 -9.243446143903444659e-05 2.959042789016370564e-02 2.137557720054352513e-03 1.080689650706989635e-02 4.165492927830887621e-02
4.850000000000000000e+02 3.791085817342636222e-02 -9.997036728563680683e-03 4.927283006209984343e-05 2.792262536856585445e-02 2.049575935788552645e-03 1.028038061246185769e-02 3.805693207722703197e-02
4.950000000000000000e+02 3.332184862416737170e-02 -8.122439463412697500e-03 1.857047462407267061e-04 2.694052752165309456e-02 1.935851413770054395e-03 9.824023519349321665e-03 3.504319983258489396e-02
5.050000000000000000e+02 2.998120914713205132e-02 -6.949210124272290311e-03 2.144064183256417253e-04 2.611169577026339894e-02 1.763291166265419565e-03 9.383467337886886375e-03 3.273818612764117092e-02
5.150000000000000000e+02 2.784715848539385738e-02 -6.625914011745680926e-03 2.442005338738177937e-04 2.470794466838993966e-02 1.636681410054914793e-03 8.946546106876573229e-03 3.075082463033018687e-02
5.250000000000000000e+02 2.519988122465301184e-02 -6.251529457842489208e-03 2.555241693957137935e-04 2.309199237591244569e-02 1.496829871655488975e-03 8.542159504638546785e-03 2.841701655260200216e-02
