# f, Suu, Svv, Sww
2.542493929438651573e-02 1.307515004229240496e+00 5.436761596652079920e-01 2.398371341023358694e-01
2.571061276960434280e-02 1.375764013318847567e+00 4.595327094823115077e-01 4.076596606683169366e-01
2.599628624482216988e-02 1.900466913086058751e+00 8.380251962339330118e-01 5.713456711238436014e-01
2.628195972003999348e-02 6.289507517218618782e-01 5.435937657395002454e-01 2.641220404136997990e-01
2.656763319525782055e-02 1.079247065329708155e+00 7.684586605090095723e-01 2.670121028870319213e-01
2.685330667047564762e-02 1.482190132392786186e+00 4.830356808658466949e-01 4.793923120330048082e-01
2.713898014569347122e-02 1.577288972477802753e+00 7.635191675693966395e-01 3.718500557744233714e-01
2.742465362091129830e-02 9.656808040635515011e-01 9.694865264999409371e-01 4.242566851637765146e-01
2.771032709612912537e-02 1.174400365143303260e+00 8.073900193316118079e-01 4.012262387015714804e-01
2.799600057134694897e-02 1.392195761377015284e+00 9.032649637713107138e-01 4.094410793713265106e-01
2.828167404656477604e-02 1.003331090192487451e+00 9.713447249399131955e-01 3.737063239531024927e-01
2.856734752178260311e-02 8.894847210297172069e-01 9.887421272333257738e-01 4.468798101525173205e-01
2.885302099700043019e-02 1.203164577101221155e+00 7.409646418804460843e-01 3.235341435981505254e-01
2.913869447221825379e-02 1.663956812565456245e+00 5.884590345645587250e-01 2.973031958941133035e-01
2.942436794743608086e-02 1.039450795233629821e+00 8.674293295761601463e-01 3.410385630723195005e-01
2.971004142265390793e-02 8.067186575947412619e-01 6.321054711433905515e-01 3.514112143470222160e-01
2.999571489787173154e-02 1.402171731703310664e+00 7.915109301862981450e-01 2.275310393698493361e-01
3.028138837308955861e-02 1.048368300070315229e+00 8.189886176220313452e-01 2.743638198034934472e-01
3.056706184830738568e-02 9.424526599510948399e-01 1.364525076476069687e+00 3.580359141695181879e-01
3.085273532352520928e-02 7.324009103599028458e-01 7.757686898013610444e-01 3.174386370079378406e-01
3.113840879874303635e-02 1.095165671878805203e+00 4.987782261858219046e-01 2.829174484765505371e-01
3.142408227396085996e-02 1.210819256644332098e+00 5.586012579425277957e-01 2.569271785450755186e-01
3.170975574917869050e-02 7.918056598452548611e-01 5.160091090667516811e-01 2.047544709653006945e-01
3.199542922439651410e-02 8.254207466542521354e-01 5.971896063892773165e-01 3.781089853887091845e-01
3.228110269961433770e-02 1.241217110229313247e+00 6.283605754208507754e-01 3.595228615521302018e-01
3.256677617483216824e-02 6.804251011455275666e-01 6.999307544167315820e-01 1.906397288639223309e-01
3.285244965004999185e-02 1.290726313504614753e+00 1.227411648096304653e+00 3.985159569176384697e-01
