# z, u, v, w, u_mag
1.281250000000000000e+02 8.194482006719219669e+00 2.451100211882434543e+00 -3.402574324743081607e-04 8.553211544379706766e+00
1.312500000000000000e+02 8.288370438907470827e+00 2.389419873376436243e+00 3.880622264606555655e-04 8.625915140692827165e+00
1.343750000000000000e+02 8.381431977907555009e+00 2.326049192111732111e+00 -4.354908723284192087e-04 8.698212864380089115e+00
1.375000000000000000e+02 8.469381555022703623e+00 2.261451746965274623e+00 4.751513126698896994e-04 8.766104502809664467e+00
1.406250000000000000e+02 8.558884543427179636e+00 2.192680583331976685e+00 -5.111255857007941487e-04 8.835290206296967597e+00
1.437500000000000000e+02 8.643199847610519626e+00 2.120682777487591597e+00 5.478830140033732077e-04 8.899561750369665347e+00
1.468750000000000000e+02 8.726992990896739855e+00 2.043060923469687040e+00 -5.994363692529343932e-04 8.962951799462809177e+00
1.500000000000000000e+02 8.812595548817958147e+00 1.961354436035567028e+00 6.506281435476768838e-04 9.028219755528741786e+00
1.531250000000000000e+02 8.895084789806201542e+00 1.879085761090894646e+00 -7.144932909991231996e-04 9.091396879791181718e+00
1.562500000000000000e+02 8.975342118586453921e+00 1.785461162039999383e+00 7.846019869470221599e-04 9.151209664433739732e+00
1.593750000000000000e+02 9.049369989987940954e+00 1.692054656595386897e+00 -8.623430360000946225e-04 9.206201546796375368e+00
1.625000000000000000e+02 9.117789288646989121e+00 1.592056762284079774e+00 9.379508546472169325e-04 9.255740225733003257e+00
1.656250000000000000e+02 9.185937313655802683e+00 1.483696764443216631e+00 -1.030380939916080742e-03 9.304987989294673412e+00
1.687500000000000000e+02 9.247960977891134249e+00 1.367273723388649165e+00 1.122578038169535185e-03 9.348487628672760508e+00
1.718750000000000000e+02 9.303596640869061574e+00 1.249461994160082190e+00 -1.231863409545896904e-03 9.387122415752765292e+00
1.750000000000000000e+02 9.354432092051107261e+00 1.118417298022455375e+00 1.339406403079072957e-03 9.421054018066184810e+00
1.781250000000000000e+02 9.392463387593450008e+00 9.827968603063117481e-01 -1.463708549462719444e-03 9.443741858943100809e+00
1.812500000000000000e+02 9.418051286719347104e+00 8.412335469949896449e-01 1.581229724167017552e-03 9.455546859920538338e+00
1.843750000000000000e+02 9.429122741924123474e+00 6.914766212661532796e-01 -1.727247797618833292e-03 9.454443324882397803e+00
1.875000000000000000e+02 9.420628388567772404e+00 5.425269208224875461e-01 1.862668819983569375e-03 9.436237500446949866e+00
1.906250000000000000e+02 9.390676523272126985e+00 3.970182830855546463e-01 -2.024387190984575698e-03 9.399065548233076939e+00
1.937500000000000000e+02 9.332904626079393751e+00 2.531386420590618358e-01 2.167817738679250848e-03 9.336337217079908157e+00
1.968750000000000000e+02 9.245708200144619582e+00 1.228437774229223095e-01 -2.356732236938358961e-03 9.246524550881797921e+00
2.000000000000000000e+02 9.130257065187159071e+00 1.675676129508135020e-02 2.515803576489621714e-03 9.130272788625582336e+00
2.031250000000000000e+02 8.991971477462421092e+00 -5.790148443245597687e-02 -2.711992874163752544e-03 8.992158305340410607e+00
2.062500000000000000e+02 8.842405167252485043e+00 -1.003612879867373381e-01 2.894262712648567205e-03 8.842975172798828609e+00
2.093750000000000000e+02 8.692732027438761833e+00 -1.097120359547571894e-01 -3.099487780312519189e-03 8.693424896927416157e+00
2.125000000000000000e+02 8.545198232398311333e+00 -9.474194982421320355e-02 3.293630024875606865e-03 8.545724060373027342e+00
2.156250000000000000e+02 8.401044836469791832e+00 -6.502824555525134331e-02 -3.517394377091578525e-03 8.401297244423563626e+00
2.187500000000000000e+02 8.261094991668993970e+00 -2.175041570602113256e-02 3.708898759163312478e-03 8.261124457232920548e+00
2.218750000000000000e+02 8.133738351117107968e+00 2.423918546719683320e-02 -3.937107397605531418e-03 8.133775421251806748e+00
2.250000000000000000e+02 8.039172325469621683e+00 6.309992474346447222e-02 4.158421986405353918e-03 8.039421034600232829e+00
2.281250000000000000e+02 7.977711155814743549e+00 4.611952132415923084e-02 -4.351832651989411167e-03 7.977845651195917931e+00
