# f, Suu, Svv, Sww
3.770889872875303472e-02 4.070639015384033832e-02 5.074883223073818617e-02 7.596781082271591989e-02
3.799457220397085833e-02 7.081948259980085092e-02 9.381256370070668871e-02 9.435710152474756363e-02
3.828024567918868887e-02 8.514701057942304641e-02 5.771736241774363951e-02 5.210000510561078185e-02
3.856591915440651247e-02 3.596888386132621185e-02 7.389432640824272758e-02 5.495124888454505641e-02
3.885159262962433607e-02 6.820165588824350644e-02 9.243281866717353856e-02 5.693846930882003748e-02
3.913726610484216661e-02 1.156239157912452575e-01 1.386895021682773288e-01 5.368096225131132465e-02
3.942293958005999022e-02 1.345427655639923892e-01 1.509443901685641465e-01 5.207499922993938379e-02
3.970861305527782076e-02 3.133384060238884189e-02 9.053975189442640958e-02 3.713563694948626703e-02
3.999428653049564436e-02 3.354930310570024971e-02 1.532764911749001646e-02 2.326727981928260885e-02
4.027996000571346796e-02 5.161133528779150714e-02 6.709048105591002009e-02 1.289257622430940199e-02
4.056563348093129850e-02 7.091889770182575881e-02 1.220428761873479373e-01 2.825413482740276108e-02
4.085130695614912211e-02 1.054073903230178660e-01 1.463443401973700542e-01 9.354022803076783577e-02
4.113698043136694571e-02 8.731598635785227380e-02 1.705120370943733477e-01 5.532734954231019464e-02
4.142265390658477625e-02 6.139691312705935350e-02 6.549540915665591490e-02 2.510124849023593827e-02
4.170832738180259985e-02 3.172439437357429254e-02 4.664232767486485576e-02 2.646269347520290027e-02
4.199400085702042346e-02 4.280718447744211869e-02 1.262785268128666094e-01 2.292793217638175104e-02
4.227967433223825400e-02 5.916045843976875523e-02 1.803007842708767294e-01 8.337214820713853558e-02
4.256534780745607760e-02 5.872324065984532715e-02 1.253607579868377675e-01 2.962618185933521206e-02
4.285102128267390120e-02 7.727203815438489498e-02 2.244628278281310674e-01 5.304402792114831094e-02
4.313669475789173174e-02 9.641149212322867867e-02 1.595881062367789649e-01 3.471649266050014226e-02
4.342236823310955535e-02 8.871789044580266625e-02 1.719774242710923051e-01 4.680377780745860472e-02
4.370804170832737895e-02 5.678404559910629062e-02 2.053543637909776287e-01 3.092441659597336065e-02
4.399371518354520949e-02 5.142292552397129124e-02 1.824913074255065382e-01 2.380030800947903480e-02
4.427938865876303309e-02 5.796732494064014973e-02 2.657184141771845032e-01 5.190112193165291599e-02
4.456506213398085670e-02 5.789299948300309639e-02 2.182303094635226481e-01 2.358924309360511951e-02
4.485073560919868724e-02 5.255404228102149994e-02 3.551753622109671271e-01 4.753804050868651321e-02
4.513640908441651084e-02 3.027676928248137708e-02 1.674022711526774732e-01 2.422544471664166491e-02
