# z, Tu, Tv, Tw
8.437500000000000000e+02 -8.721433558129696434e-07 -7.839284989150002046e-07 -1.532750567723054156e-04
8.541666669999999613e+02 -7.268239649664655183e-07 -5.398305702180887892e-07 -1.065019357756788172e-04
8.645833330000000387e+02 -3.872735606081782286e-07 -3.735399839437545141e-07 -6.100167264608753238e-05
8.750000000000000000e+02 -2.507631621653361715e-08 -2.418846941798710728e-07 -2.768659622970096545e-05
8.854166669999999613e+02 1.059829674314002754e-07 -1.315835410575615515e-07 -1.021482357976572975e-05
8.958333330000000387e+02 7.227105138048390324e-08 -6.587310559537354994e-08 -3.293959662633827695e-06
9.062500000000000000e+02 3.404325501736408383e-08 -2.545224702333515339e-08 -1.029665240041347675e-06
9.166666669999999613e+02 1.306763889542292246e-08 -7.461241366119127758e-09 -2.621373241376559539e-07
9.270833330000000387e+02 3.240843481156620120e-09 -1.416290735848980899e-09 -5.084136620571444760e-08
9.375000000000000000e+02 1.078006219863833454e-09 -1.330305788842432689e-10 -1.261462919016556703e-08
9.479166669999999613e+02 4.340013319802171166e-10 3.806177260672805888e-11 -4.253963676230117653e-09
9.583333330000000387e+02 1.475643423059142329e-10 1.670286346671953813e-11 -1.354528510556344781e-09
9.687500000000000000e+02 3.200953753768538815e-11 2.141500335297152906e-12 -2.856134239428904380e-10
9.791666669999999613e+02 2.139416989562559977e-12 9.475400472555930965e-14 -7.355671837840595403e-11
9.895833330000000387e+02 5.167712718158986969e-27 -3.567138085203588540e-27 -6.358013150472731466e-11
1.000000000000000000e+03 3.273535289861599468e-27 -1.003818745791074678e-26 -6.386253172321165479e-11
1.010416666999999961e+03 2.352616364479103561e-26 -2.600242917304953234e-26 -6.389902362935913334e-11
1.020833333000000039e+03 1.922976548504070314e-27 7.391078913494971330e-26 -6.379102369490819912e-11
1.031250000000000000e+03 -3.266159044612587857e-27 -2.008251590468905766e-26 -6.363080280113404104e-11
1.041666666999999961e+03 -1.866931201827414875e-27 -6.325684401742474573e-26 -6.348020975202841815e-11
1.052083333000000039e+03 -1.911541603716143755e-27 2.454023854785160931e-26 -6.336954773748374500e-11
1.062500000000000000e+03 1.089799648545280935e-26 7.976481029862202194e-26 -6.330438393832666843e-11
1.072916666999999961e+03 -2.001856491717127085e-27 -1.159709512846907624e-25 -6.327237148271202272e-11
1.083333333000000039e+03 9.405595018469634533e-30 -1.545581018854923260e-26 -6.325176329352362308e-11
1.093750000000000000e+03 -1.191927116856521679e-26 -1.140685152851583225e-25 -6.322269490775522283e-11
1.104166666999999961e+03 4.523861799127336509e-27 1.412766252725445646e-25 -6.317631392070911616e-11
1.114583333000000039e+03 -3.229313111407022307e-28 1.713945757780660190e-25 -6.311760300952506562e-11
1.125000000000000000e+03 1.031135558340026356e-26 -1.076009952163980563e-25 -6.306182830068900139e-11
1.135416666999999961e+03 -6.211716118689403075e-27 -8.630835157439787109e-26 -6.302606587062423950e-11
1.145833333000000039e+03 -1.185140265366642980e-27 6.666971622710975569e-26 -6.302015576363554925e-11
1.156250000000000000e+03 -6.829203137237823293e-27 -7.464901364152176283e-27 -6.304128192969168972e-11
1.166666666999999961e+03 6.342300364724417433e-27 -5.525322969881861172e-26 -6.307463451946063073e-11
1.177083333000000039e+03 3.818706870538151501e-27 1.628463192743760927e-26 -6.310164025454603828e-11
1.187500000000000000e+03 2.402326610571082940e-27 1.666014986738703560e-26 -6.311036946767791668e-11
1.197916666999999961e+03 -6.460037944392758241e-28 1.795187511194965690e-26 -6.310073806362184075e-11
1.208333333000000039e+03 -9.034876931888019199e-27 3.984937086436805813e-27 -6.308311076040496054e-11
1.218750000000000000e+03 -4.678445312001276050e-28 -9.912473651322438113e-27 -6.307312193214379031e-11
1.229166666999999961e+03 1.031050855045291055e-27 -1.541063509802890132e-26 -6.308508288136249684e-11
1.239583333000000039e+03 1.155109418082534814e-26 4.217687623126505521e-26 -6.312511425155260653e-11
1.250000000000000000e+03 -2.740575100841300031e-27 -1.296883675211592107e-25 -6.318799881013568827e-11
1.260416666999999961e+03 8.872670122488751907e-29 1.305841048628794233e-25 -6.326020909322193119e-11
1.270833333000000039e+03 -1.174460591623347206e-26 -4.699324674151084230e-26 -6.332506185735498651e-11
1.281250000000000000e+03 3.003861175279515776e-27 6.366878437410643938e-26 -6.336588646310275283e-11
