# z, uT, vT, wT

# time = 0.0 hrs
2.920000000000000000e+03 -3.928931020699999747e-04 -1.278267104030000087e-04 -5.150471702990000033e-05

# time = 6.0 hrs
5.000000000000000000e+00 2.678664392749999942e-05 -9.083988870519999544e-05 -3.353433318249999760e-07
1.500000000000000000e+01 1.665112793520000134e-05 -1.251187607089999866e-04 -2.539394334969999872e-06
2.500000000000000000e+01 2.783552468990000111e-05 -1.439781645080000054e-04 -7.441011558590000155e-06
3.500000000000000000e+01 4.354832039039999853e-05 -1.508498975040000118e-04 -5.650075697200000310e-06
4.500000000000000000e+01 7.268909091750000440e-05 -5.334712424190000100e-04 1.175861550969999967e-05
5.500000000000000000e+01 9.102161097029999538e-05 -1.443947585589999997e-03 8.071136542419999401e-05
6.500000000000000000e+01 1.349887246970000033e-04 -1.463761790110000051e-03 1.751519567849999870e-04
7.500000000000000000e+01 -1.064591855990000004e-04 -1.866315756490000101e-03 3.941876872559999922e-04
8.500000000000000000e+01 -6.230951218670000491e-04 -2.196152917749999954e-03 6.269710761879999580e-04
9.500000000000000000e+01 -9.279072272470000309e-04 -1.494450222080000038e-03 4.995436550669999634e-04
1.050000000000000000e+02 -4.632666760839999746e-04 -3.531463179770000195e-04 2.240599548280000088e-04
1.150000000000000000e+02 -2.149759251149999941e-04 5.471677462150000302e-05 1.223059599409999961e-04
1.250000000000000000e+02 -1.490611513239999901e-04 1.574016095240000045e-04 4.931244091449999746e-05
1.350000000000000000e+02 -4.504962015010000265e-05 8.690541049709999820e-05 2.917087368819999797e-06
1.450000000000000000e+02 -2.600776272160000005e-05 3.802291604510000015e-05 -7.768931686879999913e-07
1.550000000000000000e+02 -2.022925359630000153e-05 2.714340284129999838e-05 8.161357973309999895e-07
1.650000000000000000e+02 -1.550538717119999884e-05 2.200686325149999926e-05 4.817217795660000113e-07
1.750000000000000000e+02 -1.117870840810000009e-05 1.928372336849999908e-05 2.796809230689999790e-07
1.850000000000000000e+02 -5.046220517390000076e-06 2.320706136839999919e-05 -2.383795856869999981e-06
1.950000000000000000e+02 7.848667610220000028e-07 2.557977014580000132e-05 7.371483243029999526e-07
2.050000000000000000e+02 3.211483988680000190e-06 2.297212386610000050e-05 8.254515599860000450e-07
