# z, uT, vT, wT

# time = 0.0-1.0 hrs
4.150000000000000000e+02 6.606369938407891921e-08 1.620659685800726607e-05 -5.962661568517267378e-07
4.250000000000000000e+02 -1.010043936831802654e-06 2.229962577289127667e-05 -2.568379789883513494e-06
4.350000000000000000e+02 -9.690524792180053741e-07 2.028012526516502370e-05 3.402435094936583663e-06
4.450000000000000000e+02 6.307223079699431222e-07 1.757894458057921371e-05 -1.107269018370862814e-06
4.550000000000000000e+02 2.908572095490305955e-06 1.121081388998829705e-05 6.251559681021265568e-07
4.650000000000000000e+02 2.969003729975140908e-06 1.501802493375284602e-05 -2.004969446888976949e-06
4.750000000000000000e+02 3.808982062832222808e-06 5.210096508119462277e-07 -7.405702797477457301e-08
4.900000000000000000e+02 1.649399882931827248e-05 8.448487299331951649e-06 -2.249800872709128177e-06
5.100000000000000000e+02 8.645145087266190484e-06 2.805378801602262379e-06 1.457215337359594121e-06
5.300000000000000000e+02 6.201838548439201968e-06 1.930243405707829404e-06 -5.837621233467775709e-07
5.500000000000000000e+02 2.585742537285304529e-06 1.883080214213320199e-07 -2.706991177070065245e-07
5.700000000000000000e+02 2.341722401446707185e-06 -2.392114621580328350e-07 -1.047902717084299593e-07
5.900000000000000000e+02 1.368695488572454788e-06 -1.959663705549304208e-07 7.106004607084065803e-08
6.100000000000000000e+02 8.186617374319042184e-07 -9.737521504747678810e-08 -7.606914397591374861e-09
6.300000000000000000e+02 5.936019839972850662e-07 3.773849564125193654e-08 -1.273126662177077393e-08
6.500000000000000000e+02 5.685961348488656101e-07 1.425136427364441667e-07 -2.417217155611850337e-08
6.700000000000000000e+02 5.999259870044751933e-07 2.604984981828145264e-08 -2.127921458361835674e-08
6.900000000000000000e+02 4.474924510271880529e-07 -8.339976068533306916e-08 -2.310614957565931376e-08
7.100000000000000000e+02 2.784805252693324309e-07 -9.861497471535475203e-08 -2.487884255555746182e-08
7.300000000000000000e+02 1.669092674310243801e-07 -8.262740999337754667e-08 -1.551589751057747632e-08
