# z, uT, vT, wT

# time = 0.0-1.0 hrs
7.150000000000000000e+02 -7.065032528304017456e-03 1.679007851505054730e-02 3.899756521579467243e-05
7.250000000000000000e+02 -7.092520908867364776e-03 1.632832759960202787e-02 3.975859404485177628e-05
7.350000000000000000e+02 -7.236927888159415574e-03 1.591889290619088668e-02 1.726272506482497471e-05
7.450000000000000000e+02 -7.096871895296866413e-03 1.550021628625809951e-02 3.042326775601614030e-05
7.550000000000000000e+02 -6.559646306518146508e-03 1.506461443690455988e-02 2.173483515786176051e-05
7.650000000000000000e+02 -6.117916358160137118e-03 1.472958155111679136e-02 1.607172114698396520e-05
7.750000000000000000e+02 -5.865180411234360153e-03 1.436910186218493327e-02 1.486089173885356588e-05
7.850000000000000000e+02 -5.768733442314328240e-03 1.363176741341304635e-02 -5.824335789646558451e-06
7.950000000000000000e+02 -4.842382820599767934e-03 1.274684182059075167e-02 -1.931337486659806595e-05
8.050000000000000000e+02 -2.993793262251105616e-03 1.175606803955731722e-02 -9.320949134592327305e-06
8.150000000000000000e+02 -2.159636869917141294e-03 1.113384494239349869e-02 5.293576540217297455e-06
8.250000000000000000e+02 -2.047939353245793216e-03 1.086790852769728595e-02 7.141365255963950382e-06
8.350000000000000000e+02 -1.993363738029469302e-03 1.068632806906733880e-02 1.184180460629995453e-05
8.450000000000000000e+02 -1.983608582511429269e-03 1.044722817669921019e-02 4.154296876551353857e-05
8.550000000000000000e+02 -2.225520621825504211e-03 1.042516171537779916e-02 1.329940086951508388e-05
8.650000000000000000e+02 -2.388978062478523592e-03 1.064298178606432575e-02 -1.863585556897227050e-05
8.750000000000000000e+02 -2.432043727527047772e-03 1.054700425558301874e-02 -6.519470328473176266e-06
8.850000000000000000e+02 -2.503353661299413495e-03 1.016308622685810521e-02 -1.109284442453016905e-05
8.950000000000000000e+02 -1.915849426794448808e-03 9.479778084403775104e-03 -2.787666394798931080e-06
9.050000000000000000e+02 -8.139538884392362060e-04 8.190462817100238949e-03 6.977609223303408906e-06
9.150000000000000000e+02 -4.409576194069039822e-04 7.283323429304654727e-03 1.116586903702927803e-05
9.250000000000000000e+02 -5.607776428256425845e-04 6.897963942521557340e-03 -1.651573723956455698e-06
9.350000000000000000e+02 -6.326874816541840345e-04 6.703013033918685422e-03 5.581473399476245557e-06
9.450000000000000000e+02 -7.097944058198916084e-04 6.618529418085331711e-03 1.502838213942810197e-05
9.550000000000000000e+02 -7.503832470148977685e-04 6.491878039763825450e-03 6.347346685471924442e-06
9.650000000000000000e+02 -7.722575701570993109e-04 6.429232401501908979e-03 4.413306343358043778e-06
9.750000000000000000e+02 -9.635941542276056388e-04 6.446680201090630030e-03 1.368722207563884468e-05
9.850000000000000000e+02 -1.307490629900116570e-03 6.569953427417867496e-03 -4.412792263748881218e-06
9.950000000000000000e+02 -1.466478501237382989e-03 6.885770142572778495e-03 -1.215645867660818492e-05
1.005000000000000000e+03 -1.449978151873297346e-03 7.079513413977615160e-03 -2.252273386352429314e-05
1.015000000000000000e+03 -1.410583502379706387e-03 7.112178862960599063e-03 -2.902261683559054792e-05
1.025000000000000000e+03 -1.475244063956637200e-03 7.018455056498880060e-03 -2.167514395036340401e-05
1.035000000000000000e+03 -1.556341070905960288e-03 7.061439280155406770e-03 -1.190124303037831297e-05
1.045000000000000000e+03 -1.367865464810031836e-03 6.724444033001855149e-03 -1.813704675896203434e-05
1.055000000000000000e+03 -9.359289709821365334e-04 5.818308363091791342e-03 -7.957536780041614362e-07
1.065000000000000000e+03 -7.474221096408244962e-04 5.403516371465832621e-03 -9.973013539866391189e-06
1.075000000000000000e+03 -7.853893375072258870e-04 5.344377890489008034e-03 -6.401516526265166684e-06
1.085000000000000000e+03 -8.002093054891910948e-04 5.327820152955192387e-03 -6.253529132837988901e-06
1.095000000000000000e+03 -7.367193825774929518e-04 5.052316651188801938e-03 4.765552552759873886e-07
1.105000000000000000e+03 -4.701184554615866324e-04 4.524922404550866563e-03 2.384737187248527976e-05
1.115000000000000000e+03 -3.087850992580373419e-04 4.240063907103776286e-03 2.465594394503383915e-05
1.125000000000000000e+03 -2.963520376760430015e-04 4.317785998907362408e-03 1.875955205363031571e-05
1.135000000000000000e+03 -3.478801163416647192e-04 4.289567866619638237e-03 2.299388641182669582e-05
1.145000000000000000e+03 -4.285657377631454977e-04 4.419986028956135113e-03 3.179797513530372443e-06
1.155000000000000000e+03 -5.187171658689507638e-04 4.533814364579498261e-03 9.791797782827453569e-06
1.165000000000000000e+03 -5.585397122201676487e-04 4.781903332607939996e-03 -1.449815412838158240e-05
1.175000000000000000e+03 -3.721934026902826414e-04 4.992693306300088896e-03 9.837395410106728808e-06
1.185000000000000000e+03 -4.618486190759049062e-04 4.772070574102789398e-03 7.933816235815421554e-06
1.195000000000000000e+03 -9.954639466594277473e-04 4.308180679175367851e-03 -7.780952407548469632e-05
1.210000000000000000e+03 -3.467386302042582170e-04 4.581174966642775730e-03 1.362100425894439601e-04
1.230000000000000000e+03 -1.810178343740188021e-04 3.954109018377176439e-03 6.083680474028014921e-05
1.250000000000000000e+03 -8.936718212210560447e-05 3.355256602313436143e-03 -2.423098313445552562e-05
1.270000000000000000e+03 1.538829429376991286e-04 3.180824618360581120e-03 2.315224977746177320e-05
1.290000000000000000e+03 9.537684546918540128e-05 2.869769712129276867e-03 3.811442172424059306e-05
1.310000000000000000e+03 -3.236257064171000199e-04 1.890310709063925711e-03 2.974906315960305548e-05
1.330000000000000000e+03 -5.062722874386343030e-04 1.412995851633267602e-03 7.614057535453504497e-07
1.350000000000000000e+03 -5.598923320370834686e-04 1.316296181055781481e-03 1.990775087465956306e-05
1.370000000000000000e+03 -6.126265691329717744e-04 1.098642836518117080e-03 1.858400409083838610e-05
1.390000000000000000e+03 -6.174561175319281513e-04 1.098966955820765033e-03 2.621590956508167841e-05
1.410000000000000000e+03 -5.855810475250250967e-04 1.137738669593106339e-03 2.383582737873608489e-05
1.430000000000000000e+03 -5.850929748672711655e-04 1.155561647432257156e-03 1.896086254058422581e-05
1.450000000000000000e+03 -5.500574839717050062e-04 1.148653680063258008e-03 1.918685295567821396e-05
1.470000000000000000e+03 -5.263207599221610480e-04 1.136026285926810056e-03 1.982292139596789627e-05
