# z, uT, vT, wT

# time = 0.0 hrs
1.175000000000000000e+03 -2.953485462299999876e-27 -8.391694952019999868e-28 0.000000000000000000e+00
1.185000000000000000e+03 -7.068000878109999523e-29 2.220479765820000023e-27 0.000000000000000000e+00
1.195000000000000000e+03 -4.081289996909999988e-27 3.733741082090000147e-26 0.000000000000000000e+00
1.210000000000000000e+03 -1.563603454130000002e-28 4.460241796479999963e-27 0.000000000000000000e+00
1.230000000000000000e+03 -1.151579449959999910e-27 3.674970283509999849e-27 0.000000000000000000e+00
1.250000000000000000e+03 7.572824275370000091e-29 2.658251488720000138e-27 0.000000000000000000e+00
1.270000000000000000e+03 -9.920486350040000146e-28 4.267395507260000092e-27 0.000000000000000000e+00
1.290000000000000000e+03 1.267722013569999956e-28 -1.794539854589999949e-27 0.000000000000000000e+00
1.310000000000000000e+03 -1.195474776080000007e-27 7.437244379400000444e-27 0.000000000000000000e+00
1.330000000000000000e+03 1.048423490220000057e-27 -5.290288954259999714e-27 0.000000000000000000e+00
1.350000000000000000e+03 -1.836831413980000165e-27 4.427553003340000312e-27 0.000000000000000000e+00
1.370000000000000000e+03 -4.989429525919999852e-27 -1.007219567170000020e-26 0.000000000000000000e+00
1.390000000000000000e+03 -1.190041603030000073e-27 -1.019736600960000053e-26 0.000000000000000000e+00
1.410000000000000000e+03 -1.766367252560000065e-29 1.244301810150000023e-27 0.000000000000000000e+00
1.430000000000000000e+03 3.404836261180000192e-27 -1.650466185569999913e-26 0.000000000000000000e+00
1.450000000000000000e+03 -9.027304675610000001e-27 1.399829318799999957e-27 0.000000000000000000e+00
1.470000000000000000e+03 -3.163535981440000066e-27 1.132413585930000102e-28 0.000000000000000000e+00
1.490000000000000000e+03 1.705997505560000087e-27 1.224368301820000062e-26 0.000000000000000000e+00
1.510000000000000000e+03 -8.736222514540000358e-27 -2.829133245780000021e-26 0.000000000000000000e+00
1.540000000000000000e+03 2.454009540250000024e-28 2.710205116650000049e-27 0.000000000000000000e+00
1.580000000000000000e+03 1.043171629959999913e-27 -4.679961646690000088e-27 0.000000000000000000e+00
1.620000000000000000e+03 -1.815540083189999973e-28 -1.581720709150000055e-27 0.000000000000000000e+00
1.660000000000000000e+03 8.693277227380000754e-28 1.516398418250000038e-27 0.000000000000000000e+00
1.700000000000000000e+03 7.631020673019999582e-28 5.044882390559999826e-27 0.000000000000000000e+00
1.740000000000000000e+03 8.510730306129999197e-28 -1.174349131129999971e-27 0.000000000000000000e+00
1.780000000000000000e+03 -5.169006924289999921e-27 -9.296331988699999814e-27 0.000000000000000000e+00
1.820000000000000000e+03 1.871327525020000020e-27 -4.954178712899999932e-27 0.000000000000000000e+00
1.880000000000000000e+03 -4.075510877049999830e-29 1.883569444200000023e-28 0.000000000000000000e+00
1.960000000000000000e+03 -1.435846654190000065e-27 2.681348935340000032e-27 0.000000000000000000e+00
2.040000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.120000000000000000e+03 8.771349513969999621e-27 2.436159225739999863e-26 0.000000000000000000e+00
2.200000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.280000000000000000e+03 2.071349393210000124e-28 -2.303852897170000047e-27 0.000000000000000000e+00
2.360000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.440000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.520000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.600000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.680000000000000000e+03 5.147170853739999941e-27 -1.360216660929999868e-26 0.000000000000000000e+00
2.760000000000000000e+03 -7.361115044700000074e-28 -3.863086813180000136e-26 0.000000000000000000e+00
2.840000000000000000e+03 -3.128597306900000100e-30 -1.354015883640000104e-29 0.000000000000000000e+00
2.920000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00

# time = 1.0 hrs
5.000000000000000000e+00 3.468715635089999940e-03 -9.338427269480000003e-04 7.151852739510000320e-03
1.500000000000000000e+01 5.374589449859999875e-03 1.670690431890000066e-04 1.500746448279999951e-02
2.500000000000000000e+01 5.952300518349999854e-03 3.024919289709999959e-03 1.839218777890000087e-02
3.500000000000000000e+01 6.806514854390000209e-03 4.354794935750000429e-03 1.970807715430000079e-02
