# z, uu, uv, uw, vv, vw, ww, tke
2.187500000000000000e+02 4.301924881311395277e-01 5.756299517435880392e-02 -1.079944278626156495e-01 1.835660265481185716e-01 -1.233885087206201651e-02 1.433128030963929100e-01 3.785356588878255324e-01
2.291666669999999897e+02 4.204581991251784001e-01 5.525080286191487444e-02 -1.059160007032135115e-01 1.775288739072713173e-01 -1.179448721750057244e-02 1.420656685085068816e-01 3.700263707704782856e-01
2.395833330000000103e+02 4.128103639828349936e-01 5.288429073192441043e-02 -1.027494666507652449e-01 1.724725392298875892e-01 -1.128750111380409996e-02 1.388598605767943917e-01 3.620713818947585150e-01
2.500000000000000000e+02 4.054089176038774278e-01 5.036096395164230827e-02 -1.004786510041963538e-01 1.672131349991305971e-01 -1.069472710977361664e-02 1.370933268156996621e-01 3.548576897093538296e-01
2.604166670000000181e+02 3.990039897580668904e-01 4.705186197199526243e-02 -9.738669976266363382e-02 1.609247615667728781e-01 -1.014391413923258420e-02 1.341811042417401789e-01 3.470549277832899460e-01
2.708333329999999819e+02 3.932262668351954038e-01 4.329061435311670758e-02 -9.509124279242822664e-02 1.555615258999916151e-01 -9.654160582480931715e-03 1.324976506428143519e-01 3.406427216890006715e-01
2.812500000000000000e+02 3.874901040219141390e-01 3.894013209394746322e-02 -9.193016511248086609e-02 1.505256046511476153e-01 -9.123122864022519332e-03 1.297650128237333722e-01 3.338903607483975078e-01
2.916666670000000181e+02 3.811848055088235543e-01 3.513339852063605134e-02 -8.954644363453076461e-02 1.452982051101772143e-01 -8.520577071264207741e-03 1.280040757836819754e-01 3.272435432013414136e-01
3.020833329999999819e+02 3.735869812960546654e-01 3.061268533030177263e-02 -8.644586274280059712e-02 1.417096524096925492e-01 -7.960494144745441578e-03 1.254305985749731289e-01 3.203636161403601301e-01
3.125000000000000000e+02 3.667000828840691895e-01 2.600101341750197040e-02 -8.398081275979804583e-02 1.382396495748120235e-01 -7.258484236594800985e-03 1.234358082885128743e-01 3.141877703736970506e-01
3.229166670000000181e+02 3.592977761715097085e-01 2.166486339155773710e-02 -8.095578603476843993e-02 1.351661513254269475e-01 -6.739344880482616915e-03 1.207732227502558014e-01 3.076185751235962496e-01
3.333333329999999819e+02 3.538072426397690373e-01 1.764736360573350774e-02 -7.843508429413313665e-02 1.330900521430133376e-01 -6.133185279249823985e-03 1.187037996503900045e-01 3.028005472165861689e-01
3.437500000000000000e+02 3.480994481588408629e-01 1.377698569240377001e-02 -7.559854175861363546e-02 1.312349454516474334e-01 -5.608219603408243735e-03 1.161399937686280331e-01 2.977371936895581439e-01
3.541666670000000181e+02 3.423309565423470202e-01 9.625103242810262652e-03 -7.303819043018454360e-02 1.292624310546437172e-01 -4.973744244968887618e-03 1.139722207869119236e-01 2.927828041919513513e-01
3.645833329999999819e+02 3.369447076581428280e-01 6.366450668837215707e-03 -7.025117254563954805e-02 1.282525003474993819e-01 -4.413339870657325380e-03 1.113518834657630380e-01 2.882745457357026586e-01
3.750000000000000000e+02 3.322551449600453233e-01 3.443499273414459515e-03 -6.782253181030038769e-02 1.280293507569185418e-01 -3.804608715354645000e-03 1.089324536372743707e-01 2.846084746771190832e-01
3.854166670000000181e+02 3.275368010708793465e-01 5.311120236428010753e-04 -6.515828889367922261e-02 1.282420539662405545e-01 -3.287973646767178466e-03 1.063377454974568648e-01 2.810583002672883968e-01
3.958333329999999819e+02 3.230286290514447489e-01 -1.915768816315418675e-03 -6.280489804825550859e-02 1.288210574541781839e-01 -2.770777895900708963e-03 1.037354601459974240e-01 2.777925733258101992e-01
4.062500000000000000e+02 3.188855069347465432e-01 -3.738860082146193160e-03 -6.019147590688930793e-02 1.287719470084773832e-01 -2.231765981581282973e-03 1.009452500276799281e-01 2.743013519854519133e-01
4.166666670000000181e+02 3.175788601913560605e-01 -5.502621417445676191e-03 -5.799405560479969218e-02 1.291608711768486573e-01 -1.659743570094342592e-03 9.837016535867276756e-02 2.725549483634387427e-01
4.270833329999999819e+02 3.160442113466450098e-01 -6.862328326973340768e-03 -5.541648718673796575e-02 1.292870795299294329e-01 -1.159792286022026143e-03 9.562537340982435463e-02 2.704783321431993848e-01
4.375000000000000000e+02 3.139483080214032773e-01 -8.096398115282319591e-03 -5.323009112508582386e-02 1.287018435288982687e-01 -5.707997811992419944e-04 9.310159396134469467e-02 2.678758727558230857e-01
4.479166670000000181e+02 3.123971914268802164e-01 -9.441135648470242586e-03 -5.073346703116955736e-02 1.288279473297767042e-01 -1.615855713338623941e-05 9.029535013450774861e-02 2.657602444455823276e-01
