# z u v w uhoriz
8.250000000000000000e+02 -8.933824391156541367e+00 -4.423738717327287517e+00 1.646650771706167353e-08 9.969086341847182453e+00
8.350000000000000000e+02 -9.017897382918963700e+00 -4.304285487122810672e+00 1.594773284271195975e-08 9.992464498986860733e+00
8.450000000000000000e+02 -9.101801972885640524e+00 -4.184778064027756095e+00 1.530289449363153240e-08 1.001774258996470834e+01
8.550000000000000000e+02 -9.186285331490410044e+00 -4.065696060595632488e+00 1.464624869952288466e-08 1.004578133589910038e+01
8.650000000000000000e+02 -9.271378405855067228e+00 -3.947154431845084410e+00 1.395597431725140203e-08 1.007663066969261934e+01
8.750000000000000000e+02 -9.356406939033806935e+00 -3.828743022007896180e+00 1.336881586875117747e-08 1.010948188273633086e+01
8.850000000000000000e+02 -9.441603972422690561e+00 -3.710398506079160885e+00 1.265173058020681687e-08 1.014450307535969920e+01
8.950000000000000000e+02 -9.527058862068624734e+00 -3.592069694839650218e+00 1.210571545708517133e-08 1.018173930396500282e+01
9.050000000000000000e+02 -9.579773170626868506e+00 -3.485675803444945764e+00 1.179941580210959396e-08 1.019421354531010060e+01
9.150000000000000000e+02 -9.599508062312608558e+00 -3.391215131687975948e+00 1.185681878419786256e-08 1.018090836358889284e+01
9.250000000000000000e+02 -9.619087084884510475e+00 -3.296672956356945683e+00 1.200939499101808286e-08 1.016832773506869358e+01
9.350000000000000000e+02 -9.638579926225766314e+00 -3.201976231647097215e+00 1.160343912628243221e-08 1.015651883187715221e+01
9.450000000000000000e+02 -9.658051221019714916e+00 -3.107343697311999886e+00 1.225428849180873750e-08 1.014561670087457124e+01
9.550000000000000000e+02 -9.673515952659704098e+00 -3.015272109197694839e+00 1.328344543595786905e-08 1.013256022823784086e+01
9.650000000000000000e+02 -9.684926148573586246e+00 -2.925684169976237037e+00 1.509197559532333844e-08 1.011718450784475642e+01
9.750000000000000000e+02 -9.696364453926857863e+00 -2.836141793833467872e+00 1.503839727648556598e-08 1.010263252316470250e+01
9.850000000000000000e+02 -9.707829789662202558e+00 -2.746629599231258823e+00 1.503628150284041763e-08 1.008890149522861357e+01
9.950000000000000000e+02 -9.719264011502342981e+00 -2.657057711808719525e+00 1.465785902967351730e-08 1.007591428155116908e+01
1.005000000000000000e+03 -9.729752506654444133e+00 -2.567075529604638806e+00 1.410390171808410895e-08 1.006270145713582131e+01
1.015000000000000000e+03 -9.739317731689556723e+00 -2.476729144246962111e+00 1.343548034677159112e-08 1.004930331579084601e+01
1.025000000000000000e+03 -9.748886265620402725e+00 -2.386400644111391856e+00 1.272245324952922116e-08 1.003671716519985324e+01
1.035000000000000000e+03 -9.758463204370189104e+00 -2.296085567107280845e+00 1.202411908526553986e-08 1.002494952817844620e+01
1.045000000000000000e+03 -9.768060991141060967e+00 -2.205766652724753918e+00 1.131141280374145412e-08 1.001401128683826869e+01
1.055000000000000000e+03 -9.814549240049299073e+00 -2.106784614152898083e+00 1.069737307536774050e-08 1.003812324071505202e+01
