# z uT vT wT
8.450000000000000000e+02 -6.402330008254794765e-03 1.840596066316360635e-02 2.547469457797130622e-03
8.550000000000000000e+02 -6.248755665736063433e-03 2.061342957722501340e-02 2.262268892667683266e-03
8.650000000000000000e+02 -3.642455507779719485e-03 2.259056061242653915e-02 1.665501128577082362e-03
8.750000000000000000e+02 1.360895062623969040e-04 2.138412466476244389e-02 9.126352875653629803e-04
8.850000000000000000e+02 2.233772431692762888e-03 1.813745056137507430e-02 1.954119024657952530e-04
8.950000000000000000e+02 1.557039805807622313e-03 1.427576579700062277e-02 4.072748042400183358e-04
9.050000000000000000e+02 9.065945439838255218e-06 1.102847464067222352e-02 1.165839226361994798e-03
9.150000000000000000e+02 -1.016196371685382368e-03 1.114110079724090971e-02 1.078772317295481533e-03
9.250000000000000000e+02 -2.295030384623900424e-03 1.379123687872447004e-02 5.273537708532121445e-04
9.350000000000000000e+02 -3.647586010622859334e-03 1.634150240750998490e-02 -4.609654990664572433e-04
9.450000000000000000e+02 -3.944688804543601893e-03 1.714239050074730167e-02 -1.405910333854119062e-03
9.550000000000000000e+02 -2.605445650104197975e-03 1.524481456016502437e-02 -1.538796051272868590e-03
9.650000000000000000e+02 -1.132772589960389124e-03 1.134956968462945241e-02 -1.084977437939149345e-03
9.750000000000000000e+02 -4.674038198626475770e-04 7.833284180805187916e-03 -2.180536259960330126e-04
9.850000000000000000e+02 -1.066403791383528155e-04 6.508855951309575408e-03 7.415194400954260847e-04
9.950000000000000000e+02 1.072261754618276637e-04 6.951251114997799782e-03 1.331118771669951954e-03
1.005000000000000000e+03 -1.153197259077048752e-04 7.972819202318789239e-03 1.448809025844462976e-03
1.015000000000000000e+03 -5.018698561947440660e-04 8.895325170364423023e-03 1.212753537113375269e-03
1.025000000000000000e+03 -4.088619293118746873e-04 9.070039657601603605e-03 7.755363916639154481e-04
1.035000000000000000e+03 3.629366706996277087e-05 8.338062461277126122e-03 3.076813069066725720e-04
1.045000000000000000e+03 1.011071218598666400e-03 6.730299476218698507e-03 8.213660096622647723e-05
1.055000000000000000e+03 2.148531292614317724e-03 5.072383329874812115e-03 9.525183320170286334e-05
1.065000000000000000e+03 2.458881732352935241e-03 4.699869618237693426e-03 1.145391505215055065e-04
1.075000000000000000e+03 2.710046801968167031e-03 5.415580610724236507e-03 7.295057016616854893e-05
1.085000000000000000e+03 3.068594580394829428e-03 5.768791692498861749e-03 -3.457365333537668707e-05
1.095000000000000000e+03 3.079267439114121048e-03 4.922233881616710875e-03 4.083916030169405131e-05
1.105000000000000000e+03 2.800224897722598978e-03 3.737591823057306948e-03 2.757781458933674431e-04
1.115000000000000000e+03 2.550556131150519094e-03 3.281101222192743614e-03 4.114641000611562495e-04
1.125000000000000000e+03 2.349963995222230199e-03 3.361104138835070785e-03 4.034625312993167642e-04
1.135000000000000000e+03 2.128032014436381965e-03 3.489948415797649445e-03 1.973808951247676947e-04
1.145000000000000000e+03 1.949634386902577470e-03 3.300641421333331930e-03 -1.015350417284902068e-04
1.155000000000000000e+03 1.961792018865283430e-03 2.772144253739970698e-03 -1.690747353982558691e-04
1.165000000000000000e+03 2.160369299722611405e-03 2.666156609432597524e-03 -1.876114410009557340e-05
1.175000000000000000e+03 2.175112974090987004e-03 3.403801111254546510e-03 -4.648766210796788286e-05
1.185000000000000000e+03 1.604433815556740358e-03 4.214663751368281398e-03 -3.448925190017907262e-04
1.195000000000000000e+03 1.070892069507401075e-03 4.360059734882727918e-03 -5.192395029185774497e-04
1.205000000000000000e+03 1.191902751186701493e-03 3.778266489878041087e-03 -3.744149437756931183e-04
1.215000000000000000e+03 1.449548339170469210e-03 2.751928108931228027e-03 -6.871998132327854117e-05
1.225000000000000000e+03 1.357505486377593969e-03 1.882967748977155617e-03 1.963382215362331274e-04
