# z uu uv uw vv vw ww TKE
3.150000000000000000e+02 1.059912346328415259e-02 -1.578305764881324843e-03 3.645786144932509524e-05 3.691673492612647205e-03 7.191894743211926355e-04 2.626459897879168410e-03 8.458628426887984317e-03
3.250000000000000000e+02 1.085538270386706555e-02 -1.340860942872459721e-03 6.522043315174589164e-05 3.461250069732216880e-03 6.802917057659884801e-04 2.431243879319215130e-03 8.373938326459249432e-03
3.350000000000000000e+02 1.039556603335325957e-02 -8.620513258868681269e-04 1.084568458237699035e-04 3.398755391386259605e-03 6.550956113621142149e-04 2.278274648996116668e-03 8.036298036867818573e-03
3.450000000000000000e+02 1.007890072652424876e-02 -7.313260618532517118e-04 1.380348270518134415e-04 3.363240978826698060e-03 6.147858665700683782e-04 2.160268295444031997e-03 7.801205000397489625e-03
3.550000000000000000e+02 1.137561823659460902e-02 -1.095266062409410010e-03 1.531300967381316307e-04 3.395838266545611085e-03 5.705965257532568313e-04 2.058370030074578583e-03 8.414913266607398912e-03
3.650000000000000000e+02 1.424090207861131510e-02 -1.318643160949239381e-03 1.479948316358778719e-04 3.257945825138495229e-03 5.563489759252309482e-04 1.959934445932006580e-03 9.729391174840907805e-03
3.750000000000000000e+02 1.869704885088095681e-02 -1.694024002586105729e-03 1.563293262585762266e-04 3.066642667479265501e-03 5.269463886148304530e-04 1.870207250985200971e-03 1.181694938467271055e-02
3.850000000000000000e+02 2.183724585111856270e-02 -2.229048362429589345e-03 1.694579973349121665e-04 3.019616153956534294e-03 4.990578564873880815e-04 1.795037531563616453e-03 1.332594976831935618e-02
3.950000000000000000e+02 1.932186449628393171e-02 -1.922402840081051736e-03 1.185973540887434637e-04 3.251248582318321586e-03 4.798893781769736767e-04 1.732583086605178971e-03 1.215284808260371635e-02
4.050000000000000000e+02 1.316084983623833429e-02 -1.858403602061911618e-03 7.151599545647293048e-05 3.487246126471782535e-03 4.498137283223600747e-04 1.676806862389803535e-03 9.162451412549961483e-03
4.150000000000000000e+02 7.886283176381387802e-03 -1.977653400942979995e-03 7.962690497948444383e-05 3.650246721260597040e-03 4.212335951642335674e-04 1.619513079202050893e-03 6.578021488422017976e-03
4.250000000000000000e+02 6.171970597050813016e-03 -1.449401519934978002e-03 9.345642035746353990e-05 3.658700179881593101e-03 3.963994291494835520e-04 1.561119998532991887e-03 5.695895387732699544e-03
4.350000000000000000e+02 5.620092706728381689e-03 -1.499516742993172629e-03 9.124219454641262174e-05 3.624123765228081349e-03 3.847815701239938602e-04 1.508293585959680043e-03 5.376255028958071974e-03
4.450000000000000000e+02 4.863662489977898032e-03 -1.811653186636839755e-03 9.517317519000179278e-05 3.894982853352411262e-03 3.558097737084857967e-04 1.461537585113599448e-03 5.110091464221954045e-03
4.550000000000000000e+02 4.648472147405488704e-03 -1.991457508798468064e-03 9.224106772410204248e-05 4.361262024845211256e-03 3.138470308698627291e-04 1.414941754961590494e-03 5.212337963606145444e-03
4.650000000000000000e+02 4.919856520761657116e-03 -2.190997516679434997e-03 8.301156393665702431e-05 4.392301984301289278e-03 3.039488597933597295e-04 1.369229471629125746e-03 5.340693988346036612e-03
4.750000000000000000e+02 5.113998750324923528e-03 -2.390943629994543487e-03 6.167853033829406070e-05 4.348127144189554635e-03 2.975348144589205139e-04 1.328614298834814196e-03 5.395370096674645746e-03
4.850000000000000000e+02 4.749889457244953032e-03 -2.206844403310152976e-03 3.785709034852409292e-05 3.913996935547579825e-03 2.866411561869495182e-04 1.294386914528546009e-03 4.979136653660540084e-03
4.950000000000000000e+02 4.154712620190035254e-03 -1.839529021033051073e-03 4.682571789816264890e-05 3.575377934591964391e-03 2.627715687854139726e-04 1.261996801968967401e-03 4.496043678375484173e-03
5.050000000000000000e+02 3.672611528467767915e-03 -1.464629606213184313e-03 6.968091734445389530e-05 3.294475360899776478e-03 2.167761746900436122e-04 1.228237745191316068e-03 4.097662317279430338e-03
5.150000000000000000e+02 3.399951703502665425e-03 -1.200795285642966255e-03 8.188241925055204007e-05 2.850443296488202726e-03 1.796078154455729129e-04 1.195117308802580826e-03 3.722756154396724380e-03
5.250000000000000000e+02 2.820384144243864681e-03 -9.384590156088011385e-04 7.161811521639709641e-05 2.426595206221263731e-03 1.648640703926430482e-04 1.163635926553810559e-03 3.205307638509469377e-03
5.350000000000000000e+02 2.337969040605520753e-03 -7.505542441412325775e-04 5.873371734251501403e-05 2.139573429449295218e-03 1.627081150022159086e-04 1.134148862936488296e-03 2.805845666495652025e-03
