# z uT vT wT
1.635000000000000000e+03 -6.180631085351405863e-04 1.133604997330780323e-03 2.802874834475192287e-05
1.645000000000000000e+03 -9.653193363520775564e-04 6.999019319249153359e-04 1.337324547709522835e-05
1.655000000000000000e+03 -1.482269176108122694e-03 1.408937445403655119e-04 5.151671788392405180e-05
1.665000000000000000e+03 -1.561918527067286981e-03 -1.497404968259510050e-05 6.408737686480158434e-05
1.675000000000000000e+03 -1.277941816984863328e-03 1.254319224811130482e-04 4.066058892764533252e-05
1.685000000000000000e+03 -8.867756721870396651e-04 2.959777165287549514e-04 4.690129068384037820e-05
1.695000000000000000e+03 -5.167078417123584884e-04 4.251288631227295245e-04 5.490676802587935698e-05
1.705000000000000000e+03 -2.097237776686117553e-04 4.989011927081436586e-04 4.988831534423049239e-05
1.715000000000000000e+03 5.669163534219322004e-05 5.470997566387443903e-04 4.497244392400949313e-05
1.725000000000000000e+03 2.901058830082566572e-04 5.841869964563493932e-04 4.362412444342214120e-05
1.735000000000000000e+03 4.719943394686642734e-04 6.072883901504383137e-04 4.042387369308635960e-05
1.745000000000000000e+03 6.037895840468023240e-04 6.069689888064897518e-04 3.648377019187397830e-05
1.755000000000000000e+03 7.010226855558859696e-04 5.872076162119248743e-04 3.434235882278040530e-05
1.765000000000000000e+03 7.638204214857956080e-04 5.620001471529318749e-04 3.175384874498165757e-05
1.775000000000000000e+03 7.946865366926470983e-04 5.332571298947069499e-04 2.869450297103639548e-05
1.785000000000000000e+03 8.030238020644939623e-04 4.985869325854504598e-04 2.592982476476804284e-05
1.795000000000000000e+03 7.875311871079699114e-04 4.612735773387955317e-04 2.291401015917265456e-05
1.805000000000000000e+03 7.507678684485825276e-04 4.207935328616901915e-04 1.985574848762678969e-05
1.815000000000000000e+03 7.056165711136598920e-04 3.766761486009690373e-04 1.690505278640604280e-05
1.825000000000000000e+03 6.528801658978660794e-04 3.307373409970168661e-04 1.389665552055559081e-05
1.835000000000000000e+03 5.915448121055097387e-04 2.860159712701767858e-04 1.106114617954969450e-05
1.845000000000000000e+03 5.264503815711206501e-04 2.431693069421494069e-04 8.523116252233748754e-06
1.855000000000000000e+03 4.590300410278306837e-04 2.025147680180861324e-04 6.322667400567298571e-06
1.865000000000000000e+03 3.878681723937475322e-04 1.639973949148568742e-04 4.441469892585703171e-06
1.875000000000000000e+03 3.148855374101724525e-04 1.276905612052494190e-04 2.911310334810870128e-06
1.885000000000000000e+03 2.419743938204769052e-04 9.407900972715658528e-05 1.721411877772688587e-06
1.895000000000000000e+03 1.692191324765371938e-04 6.301059007787941646e-05 8.908060862550258019e-07
