# z uT vT wT
2.550000000000000000e+02 1.529916905946149947e-04 1.522745583327927727e-04 3.735375047518307997e-06
2.650000000000000000e+02 1.939075496397788662e-04 1.245585264130564650e-04 3.889791875088101456e-06
2.750000000000000000e+02 2.386430410275604437e-04 8.355397348147791442e-05 3.655206424979591668e-06
2.850000000000000000e+02 2.327102953429065842e-04 9.608815486492381470e-05 3.167738833239148229e-06
2.950000000000000000e+02 2.184842421290596854e-04 8.103520117417890422e-05 1.907686200248226272e-06
3.050000000000000000e+02 2.120578783200033769e-04 4.120029011699438978e-06 1.388623592315598715e-06
3.150000000000000000e+02 2.000352478686959375e-04 -1.068451796604954560e-05 1.312540561677527251e-06
3.250000000000000000e+02 1.879158966342844308e-04 1.124939411499780043e-05 1.379175659692413192e-06
3.350000000000000000e+02 1.802540597539511894e-04 3.017181335214380063e-05 1.090946620933499056e-06
3.450000000000000000e+02 1.450279520132562248e-04 1.704644746373063524e-05 5.481933990573389247e-07
3.550000000000000000e+02 9.118473722162796888e-05 -4.750653068634341645e-05 6.664627475939202978e-07
3.650000000000000000e+02 7.037384443766407942e-05 -6.194827744699950821e-05 -2.434588585134438681e-07
3.750000000000000000e+02 6.933140409893771990e-05 -4.517007212558126042e-05 4.709934992111242636e-09
3.850000000000000000e+02 6.760173885538715616e-05 -3.387846272181337684e-05 2.333195486424484730e-07
3.950000000000000000e+02 5.394546267236146171e-05 -2.605556321521332536e-05 -2.610266384799732668e-07
4.050000000000000000e+02 3.251362503587648867e-05 -2.316946928000983849e-05 -3.073937256725580448e-07
4.150000000000000000e+02 2.572677440685940600e-05 -2.376599446901300462e-05 -8.485315293674743681e-07
4.250000000000000000e+02 2.713154661362037940e-05 -2.544952002704071596e-05 -6.309227547977444428e-07
4.350000000000000000e+02 2.902463857575195410e-05 -2.918533815462043049e-05 -4.783825065344754712e-07
4.450000000000000000e+02 2.540486743989680440e-05 -2.299151912035694807e-05 -6.500396690035213606e-07
4.550000000000000000e+02 1.608026728141281444e-05 -8.404290525886608427e-06 -7.095574173741376915e-07
4.650000000000000000e+02 1.346178475850036056e-05 -5.740102415509946313e-06 -1.062639053224893915e-06
4.750000000000000000e+02 1.532707704242336540e-05 -9.345551930680537448e-06 -1.003432801448831829e-06
4.850000000000000000e+02 1.701549810951173558e-05 -1.267423370347910099e-05 -1.058180634046799987e-06
4.950000000000000000e+02 1.522545022737499518e-05 -8.209677632060033146e-06 -1.268982585063556990e-06
5.050000000000000000e+02 1.024729260676533724e-05 4.543963146742773319e-06 -1.049365294466572384e-06
5.150000000000000000e+02 8.611567582390276560e-06 6.153462490339570981e-06 -1.042914508692073677e-06
5.250000000000000000e+02 9.145454641738874502e-06 3.849922422925682919e-06 -9.736784069264328718e-07
5.350000000000000000e+02 1.085557893191964125e-05 4.803042833994807010e-07 -9.414035708253765703e-07
