# z uu uv uw vv vw ww TKE
1.950000000000000000e+02 9.295464727706851836e-04 -5.464317057025361215e-04 -1.010509311322242147e-05 9.456632883304473157e-04 1.901669900191206065e-04 4.745034586633844337e-04 1.174856609882258575e-03
2.050000000000000000e+02 8.083303090050592866e-04 -4.718501554298564892e-04 -1.588293107220791828e-06 8.485713681077896968e-04 1.693413714084296092e-04 4.074894314408627192e-04 1.032195554276855824e-03
2.150000000000000000e+02 6.193916793744057509e-04 -3.641732428369770600e-04 4.524109601304277117e-06 7.440977486150964415e-04 1.537316809973770832e-04 3.571363773878998785e-04 8.603129026887010354e-04
2.250000000000000000e+02 4.435905316759290317e-04 -2.697337807033833705e-04 3.677817019222894788e-06 6.821043342798377516e-04 1.472561499192948477e-04 3.190129387102817347e-04 7.223539023330242861e-04
2.350000000000000000e+02 3.629052032400223145e-04 -2.218120324513154487e-04 8.658463809010836612e-06 6.577980803156507428e-04 1.336374344889750801e-04 2.895383275831931477e-04 6.551208055694331296e-04
2.450000000000000000e+02 2.935490241660358083e-04 -1.687385311988514897e-04 1.260303559449453470e-05 5.959491991151513648e-04 1.207721819477974065e-04 2.675397668335497987e-04 5.785189950573685130e-04
2.550000000000000000e+02 2.151086009908628575e-04 -1.149829310570124711e-04 1.406497776291733290e-05 5.785476566172126443e-04 1.151353494904537090e-04 2.516504563177420200e-04 5.226533569629087609e-04
2.650000000000000000e+02 1.215527002769068197e-04 -5.212908020798839875e-05 1.506224680656046490e-05 5.317076138025429418e-04 1.071057350769219648e-04 2.402337540481376663e-04 4.467470340637937206e-04
2.750000000000000000e+02 8.961899736700359629e-05 -2.904515996131458390e-05 1.567428401414859736e-05 4.581605934556275670e-04 9.789260735395412087e-05 2.314235267547473749e-04 3.896015587886892556e-04
2.850000000000000000e+02 9.016454496176736226e-05 -3.461936342385203561e-05 1.622238489208876623e-05 4.095122284328599270e-04 9.114393697546610518e-05 2.241732117451839511e-04 3.619249925699056201e-04
2.950000000000000000e+02 6.391480092753391504e-05 -1.811879405491922460e-05 1.605741983640561967e-05 3.772830852611227192e-04 8.692593438245659249e-05 2.187425946423623014e-04 3.299702404155094543e-04
3.050000000000000000e+02 3.231840864280971970e-05 -5.162027219605317310e-06 1.346947144424598316e-05 3.465664398035234357e-04 8.456375664352543272e-05 2.153990819379447805e-04 2.971419651921390018e-04
3.150000000000000000e+02 2.745373147977503238e-05 -4.110058643525174667e-06 1.356881486391069830e-05 3.165923177882746793e-04 8.171155969875270794e-05 2.130969964060340375e-04 2.785715228370418627e-04
3.250000000000000000e+02 2.524194850101833590e-05 -2.699459706142195973e-06 1.335562271454020087e-05 2.813143810674692026e-04 7.953930782218248297e-05 2.107725295914896337e-04 2.586644295799885810e-04
3.350000000000000000e+02 2.396057116082745650e-05 -3.492288529489744501e-06 1.315596834851669504e-05 2.561782548357481788e-04 7.649301854082854143e-05 2.077951531060043136e-04 2.439669895512899778e-04
3.450000000000000000e+02 2.252952273990314595e-05 -2.743105294647076823e-06 1.350053154361350970e-05 2.476729842488085910e-04 7.384368631442899853e-05 2.035903930209159360e-04 2.368964500048138517e-04
3.550000000000000000e+02 3.933519477310860689e-05 -1.641436529828891450e-05 1.199560698856479259e-05 2.644803986256496217e-04 7.408521464669883189e-05 1.983969270218021927e-04 2.511062602102802073e-04
