# z uT vT wT
7.450000000000000000e+02 -4.758508280510059331e-06 3.421237986248681993e-05 2.715227339419556201e-06
7.550000000000000000e+02 -1.620872175709643932e-05 4.466257053290984994e-05 2.489016951318248053e-06
7.650000000000000000e+02 -1.552853505297383479e-05 5.090754950485595735e-05 2.150216740498295427e-06
7.750000000000000000e+02 -7.469217169939404766e-06 3.606980558313227546e-05 5.992747816554302010e-07
7.850000000000000000e+02 -1.752435561000641077e-06 1.937376822094608438e-05 1.026584153732969004e-06
7.950000000000000000e+02 -1.184793173818290981e-06 1.041334901638145095e-05 1.606683270225556286e-06
8.050000000000000000e+02 -8.680717085504831841e-07 9.364625985112836449e-06 2.087027230076277413e-06
8.150000000000000000e+02 -4.350572137810197333e-07 8.870738324524039952e-06 1.812951264762156299e-06
8.250000000000000000e+02 -4.347087701282605259e-07 6.874678285058786112e-06 1.807655026041018825e-06
8.350000000000000000e+02 -2.864512271708294455e-06 7.013384221310283300e-06 1.260654187115092716e-06
8.450000000000000000e+02 -4.606749639829977564e-06 9.113780131865011134e-06 -1.622133626288332773e-07
8.550000000000000000e+02 -2.755200485256328119e-06 6.763216321152543979e-06 -1.146066644464916950e-06
8.650000000000000000e+02 -8.527721998829318597e-07 4.297862512099870617e-06 -1.480468136810309499e-06
8.750000000000000000e+02 2.384510070809374734e-08 3.914320884683707099e-06 -1.423294082491197919e-06
8.850000000000000000e+02 3.816079446592574891e-07 3.875526455735833119e-06 -6.381314824792134823e-07
8.950000000000000000e+02 -7.231372517606523513e-07 3.860101692475270503e-06 2.708401496989671608e-07
9.050000000000000000e+02 -2.048979383452475319e-06 4.646312064945383235e-06 9.599577970438665960e-07
9.150000000000000000e+02 -2.452837503952182592e-06 5.620365506095157830e-06 1.292439149471621521e-06
9.250000000000000000e+02 -1.940279156860843042e-06 5.433642387875730079e-06 1.156050035906439127e-06
9.350000000000000000e+02 -1.333759362568506083e-06 4.851127464002076622e-06 8.745179179963807769e-07
9.450000000000000000e+02 -1.027326176680976982e-06 4.218824153237778247e-06 6.192851326543475684e-07
9.550000000000000000e+02 -8.295072596988875507e-07 2.835130325755422910e-06 3.064545480064593956e-07
9.650000000000000000e+02 -6.850251069619094833e-07 2.169375487315379643e-06 1.687843200647942954e-07
9.750000000000000000e+02 -5.337967502355419079e-07 1.911217908535664660e-06 1.415651913309724484e-07
9.850000000000000000e+02 -5.119113256958706251e-07 1.483776968825424477e-06 1.072766196784997904e-07
9.950000000000000000e+02 -5.535588021816774866e-07 1.032946807888597019e-06 6.951627081196006439e-08
