# z u v w uhoriz
5.950000000000000000e+02 9.209844442348573690e-01 -8.273198401424696868e+00 6.261395313844497655e-08 8.324303222243814915e+00
6.050000000000000000e+02 9.760579111811983344e-01 -8.194450715662457085e+00 6.303740989629814233e-08 8.252376117058672023e+00
6.150000000000000000e+02 1.027290002435438110e+00 -8.112895482317842522e+00 6.298484437500882350e-08 8.177676800663929768e+00
6.250000000000000000e+02 1.078524518138416211e+00 -8.031335670636668311e+00 6.385094792340928619e-08 8.103429384567169436e+00
6.350000000000000000e+02 1.129759932192643923e+00 -7.949779320511856540e+00 6.495816170946011260e-08 8.029654335600374893e+00
6.450000000000000000e+02 1.180993469036714760e+00 -7.868221842250898490e+00 6.704870412142490467e-08 7.956359753856125039e+00
6.550000000000000000e+02 1.217225885613506975e+00 -7.780048054622899834e+00 6.748377396646808128e-08 7.874692793299885807e+00
6.650000000000000000e+02 1.238458366672454236e+00 -7.685270152087943174e+00 6.797432631329980712e-08 7.784417539967575905e+00
6.750000000000000000e+02 1.259689997502228875e+00 -7.590489538607007702e+00 6.825575557921015274e-08 7.694306357658861728e+00
6.850000000000000000e+02 1.280924012935874545e+00 -7.495706871038206209e+00 6.841427360930075353e-08 7.604366365677361905e+00
6.950000000000000000e+02 1.302156034127757156e+00 -7.400928131035442448e+00 6.849846092825902289e-08 7.514608941120428653e+00
7.050000000000000000e+02 1.318259450444956959e+00 -7.305686323534350990e+00 6.852153282844703876e-08 7.423668947128791551e+00
7.150000000000000000e+02 1.329235233471657063e+00 -7.209980400001126277e+00 6.851409373889678429e-08 7.331485775359784185e+00
7.250000000000000000e+02 1.340209996294957406e+00 -7.114276794829342165e+00 6.844727554961770530e-08 7.239412762622130515e+00
7.350000000000000000e+02 1.351185515888705391e+00 -7.018571768259316279e+00 6.838665417559023874e-08 7.147450731873157714e+00
7.450000000000000000e+02 1.362160373314547313e+00 -6.922866802599680902e+00 6.835877152794549809e-08 7.055605264551380706e+00
7.550000000000000000e+02 1.353689695880575972e+00 -6.822729209665408412e+00 6.839339260272117122e-08 6.955724955829896139e+00
7.650000000000000000e+02 1.325774329786404193e+00 -6.718158402795668671e+00 6.845883556727571420e-08 6.847724432143472484e+00
7.750000000000000000e+02 1.297856438992976980e+00 -6.613587735503161369e+00 6.843492695556911530e-08 6.739731008833614645e+00
7.850000000000000000e+02 1.269938601281551005e+00 -6.509017356257994713e+00 6.865511189117262226e-08 6.631745697408243601e+00
7.950000000000000000e+02 1.242020996944796840e+00 -6.404446986623663740e+00 6.893636609483614495e-08 6.523768647133700860e+00
8.050000000000000000e+02 1.214264278611797199e+00 -6.299814260650380859e+00 6.947024280304340659e-08 6.415769436085319910e+00
8.150000000000000000e+02 1.186667836521239305e+00 -6.195119459960718444e+00 6.956619669890840336e-08 6.307748067053564611e+00
8.250000000000000000e+02 1.159070972849603809e+00 -6.090424922914917438e+00 6.963570830476634735e-08 6.199735579987722289e+00
8.350000000000000000e+02 1.131473674188831158e+00 -5.985729686694328144e+00 6.959145178229547550e-08 6.091731490927365655e+00
8.450000000000000000e+02 1.103876819894277439e+00 -5.881034869588350311e+00 6.950501195862767148e-08 5.983737558651279542e+00
8.550000000000000000e+02 1.080440796088450117e+00 -5.790819113861601863e+00 6.934595102863446359e-08 5.890750234334936941e+00
8.650000000000000000e+02 1.061165091203985167e+00 -5.715082327334915391e+00 6.920100520095951006e-08 5.812765035592427409e+00
8.750000000000000000e+02 1.041889323789014110e+00 -5.639346090310040971e+00 6.903636535896987385e-08 5.734784886054635322e+00
8.850000000000000000e+02 1.022613276408492089e+00 -5.563609576155433167e+00 6.895187269221573916e-08 5.656809120783142575e+00
8.950000000000000000e+02 1.003337302839814704e+00 -5.487872946953651798e+00 6.878887281207492507e-08 5.578838160869665330e+00
9.050000000000000000e+02 9.841419598241289979e-01 -5.412111206440243905e+00 6.850660412430387050e-08 5.500862033169214627e+00
9.150000000000000000e+02 9.650273389503360999e-01 -5.336324475647171717e+00 6.801735755017012476e-08 5.422880846405591981e+00
9.250000000000000000e+02 9.459128722800080880e-01 -5.260537763303717362e+00 6.750791191096261947e-08 5.344904930968322532e+00
9.350000000000000000e+02 9.267981983223257947e-01 -5.184750832704078327e+00 6.743116200569958755e-08 5.266934221882701550e+00
9.450000000000000000e+02 9.076835420705275936e-01 -5.108964273570884451e+00 6.643933774079580699e-08 5.188969585685521579e+00
9.550000000000000000e+02 8.929990568563738185e-01 -5.044562830259108566e+00 6.525107313389174855e-08 5.122993408543305982e+00
9.650000000000000000e+02 8.827447668010777182e-01 -4.991546532971613104e+00 6.292493943713757710e-08 5.069001392200994438e+00
9.750000000000000000e+02 8.724906307313459175e-01 -4.938530648523572708e+00 6.221640238615792186e-08 5.015009956831655735e+00
9.850000000000000000e+02 8.622363542639643885e-01 -4.885514398757175414e+00 6.141771625608339476e-08 4.961018289734285602e+00
9.950000000000000000e+02 8.519822000066827883e-01 -4.832498542179756384e+00 6.072551421188135557e-08 4.907027188563121811e+00
1.005000000000000000e+03 8.462034371988668147e-01 -4.790867468131255080e+00 6.012351020531275173e-08 4.865025318980936042e+00
1.015000000000000000e+03 8.448999940654674523e-01 -4.760621201680889314e+00 5.955689069399731418e-08 4.835015018163378642e+00
1.025000000000000000e+03 8.435966793880425030e-01 -4.730375236997209853e+00 5.907550894000938588e-08 4.805008349656734623e+00
1.035000000000000000e+03 8.422933292871995770e-01 -4.700129077803474331e+00 5.865538365039044133e-08 4.775004858696528132e+00
