# z u v w uhoriz
3.950000000000000000e+02 -4.062411125852016802e+00 -8.393947945649969711e+00 7.032029259170750211e-08 9.325317488950581435e+00
4.050000000000000000e+02 -4.050611725717024214e+00 -8.310901579481596357e+00 6.983878620282625999e-08 9.245460530246502273e+00
4.150000000000000000e+02 -4.034452152141478010e+00 -8.207073061387239576e+00 6.940912681938969960e-08 9.145099912131474440e+00
4.250000000000000000e+02 -4.018292865238134226e+00 -8.103242815429572588e+00 6.899939590883356776e-08 9.044845033312327587e+00
4.350000000000000000e+02 -4.002132811179992089e+00 -7.999412250289102744e+00 6.856968837821724860e-08 8.944700296175318144e+00
4.450000000000000000e+02 -3.985974048124914848e+00 -7.895582947212360203e+00 6.818805612726571384e-08 8.844671796547112663e+00
4.550000000000000000e+02 -3.968914756283062673e+00 -7.786106882562819465e+00 6.807251384333678376e-08 8.739321754537565212e+00
4.650000000000000000e+02 -3.950958384413073343e+00 -7.670987091724432716e+00 6.749908414403844378e-08 8.628679801497261437e+00
4.750000000000000000e+02 -3.933000934195438614e+00 -7.555864264709263978e+00 6.684219274895371081e-08 8.518191189160564392e+00
4.850000000000000000e+02 -3.915043529851599313e+00 -7.440742369458600791e+00 6.557362707061350942e-08 8.407866129362982832e+00
4.950000000000000000e+02 -3.897086387690642528e+00 -7.325619888488811071e+00 6.522003673535902094e-08 8.297709868617154427e+00
5.050000000000000000e+02 -3.879381864157758653e+00 -7.211866600386987791e+00 6.488609843893440650e-08 8.189055104817253294e+00
5.150000000000000000e+02 -3.861930081229733247e+00 -7.099481743969114689e+00 6.470543161806118558e-08 8.081902312281300738e+00
5.250000000000000000e+02 -3.844478290869157266e+00 -6.987097084476499020e+00 6.458782311702263312e-08 7.974931911738446288e+00
5.350000000000000000e+02 -3.827026415596551878e+00 -6.874711387964421050e+00 6.457007294170188730e-08 7.868150218029742682e+00
5.450000000000000000e+02 -3.809574650406964302e+00 -6.762327888949391408e+00 6.455245324820133644e-08 7.761567979131927864e+00
5.550000000000000000e+02 -3.791675445561861313e+00 -6.670666091261002073e+00 6.459400542317150045e-08 7.672977830384763998e+00
5.650000000000000000e+02 -3.773328645980589702e+00 -6.599726119724297568e+00 6.452658608380337491e-08 7.602262421539317749e+00
5.750000000000000000e+02 -3.754981970643772815e+00 -6.528788071224306044e+00 6.456056639972037222e-08 7.531597657789520284e+00
5.850000000000000000e+02 -3.736635252623712322e+00 -6.457848814751251609e+00 6.474721171976053123e-08 7.460982128737102315e+00
5.950000000000000000e+02 -3.718288506690765605e+00 -6.386910307397323017e+00 6.518819099839937819e-08 7.390418979579359338e+00
6.050000000000000000e+02 -3.698594349848938645e+00 -6.321943724574206058e+00 6.565796176188618662e-08 7.324382064134672632e+00
6.150000000000000000e+02 -3.677552772753775123e+00 -6.262949148265248844e+00 6.559779593435013304e-08 7.262845615194184035e+00
6.250000000000000000e+02 -3.656511136787758076e+00 -6.203955138630663946e+00 6.656368120867475290e-08 7.201328561841538800e+00
6.350000000000000000e+02 -3.635469621445033273e+00 -6.144960228367814636e+00 6.779898793108475749e-08 7.139830220437452191e+00
6.450000000000000000e+02 -3.614427932543943900e+00 -6.085966367715312408e+00 7.012794149023494484e-08 7.078352626742737463e+00
6.550000000000000000e+02 -3.586750970029807473e+00 -6.046338686200202872e+00 7.060198710023654722e-08 7.030148933646495735e+00
6.650000000000000000e+02 -3.552438608845756907e+00 -6.026076079105306071e+00 7.112877783785981825e-08 6.995242167415161028e+00
6.750000000000000000e+02 -3.518126091858281068e+00 -6.005814398688544387e+00 7.141275181189900229e-08 6.960389198148955181e+00
6.850000000000000000e+02 -3.483813723954539032e+00 -5.985552334032044897e+00 7.155827369229795670e-08 6.925589852615476438e+00
6.950000000000000000e+02 -3.449501252928418804e+00 -5.965290435019858784e+00 7.161802174109274641e-08 6.890845294163419510e+00
7.050000000000000000e+02 -3.413661216086639083e+00 -5.946751004444226218e+00 7.161552220890604925e-08 6.856889266064642996e+00
7.150000000000000000e+02 -3.376293602281532635e+00 -5.929934049823628150e+00 7.158071725731009706e-08 6.823743571095331362e+00
7.250000000000000000e+02 -3.338925886700109480e+00 -5.913117211832081388e+00 7.149631978335065402e-08 6.790683414630733772e+00
7.350000000000000000e+02 -3.301558345472761058e+00 -5.896300136735257880e+00 7.141675471599769596e-08 6.757709879169500056e+00
7.450000000000000000e+02 -3.264190555725600351e+00 -5.879483339244484519e+00 7.136472374975634029e-08 6.724824482508199530e+00
7.550000000000000000e+02 -3.220636893286609848e+00 -5.870913693860816629e+00 7.136457348962176073e-08 6.696277294076260489e+00
7.650000000000000000e+02 -3.170897321165980109e+00 -5.870590585626852764e+00 7.139701483172095913e-08 6.672212799771019220e+00
7.750000000000000000e+02 -3.121157526036477670e+00 -5.870267782971471782e+00 7.137363189582838377e-08 6.648433510694601090e+00
7.850000000000000000e+02 -3.071417849391023580e+00 -5.869944917591964462e+00 7.153940175347037777e-08 6.624942334928019427e+00
7.950000000000000000e+02 -3.021678149613535869e+00 -5.869622056943995858e+00 7.175188392912139036e-08 6.601742340565507128e+00
8.050000000000000000e+02 -2.971946301572477633e+00 -5.869350610472574559e+00 7.215968779586284826e-08 6.578886030939060880e+00
8.150000000000000000e+02 -2.922222306434517414e+00 -5.869130578858488434e+00 7.223453540687646371e-08 6.556376816498213245e+00
8.250000000000000000e+02 -2.872498323521632813e+00 -5.868910541540300230e+00 7.228213580375219575e-08 6.534168467619843490e+00
8.350000000000000000e+02 -2.822774277934070319e+00 -5.868690550137966255e+00 7.222864335533803050e-08 6.512264076144707481e+00
8.450000000000000000e+02 -2.773050346688114676e+00 -5.868470446226351278e+00 7.214117821947939981e-08 6.490666653241343731e+00
8.550000000000000000e+02 -2.730743991295329298e+00 -5.863481382119301699e+00 7.198123875983309330e-08 6.468181866989766604e+00
8.650000000000000000e+02 -2.695855220355481308e+00 -5.853723311426591636e+00 7.183904045654465574e-08 6.444665388975365339e+00
8.750000000000000000e+02 -2.660966553885365737e+00 -5.843965135494895158e+00 7.167475460518530023e-08 6.421267126181282592e+00
8.850000000000000000e+02 -2.626077827866582393e+00 -5.834207014117066770e+00 7.159949732533016904e-08 6.397988452754916899e+00
8.950000000000000000e+02 -2.591189120668137669e+00 -5.824448886728629482e+00 7.143801711941853274e-08 6.374830656039679688e+00
9.050000000000000000e+02 -2.556790001460732320e+00 -5.814842386749802472e+00 7.114513091691627681e-08 6.352130909727200958e+00
9.150000000000000000e+02 -2.522880469443223195e+00 -5.805387513987955828e+00 7.062516234271411384e-08 6.329885469000629428e+00
9.250000000000000000e+02 -2.488970931022145727e+00 -5.795932643511129356e+00 7.008245549522529158e-08 6.307758040983433290e+00
