# z uT vT wT
2.750000000000000000e+02 -4.140745689160590069e-03 2.307445738395004411e-03 -1.578267298266806604e-04
2.850000000000000000e+02 -3.981039994580059388e-03 2.372297288564963798e-03 -1.240561473368658721e-04
2.950000000000000000e+02 -3.768928551234144216e-03 2.437968282286276812e-03 -1.000377405217327514e-04
3.050000000000000000e+02 -3.585544769494343649e-03 2.361246976710497641e-03 -8.341616577059596932e-05
3.150000000000000000e+02 -3.566761588450403312e-03 2.318985828944183664e-03 -8.156867901451495960e-05
3.250000000000000000e+02 -3.602291352808375917e-03 2.206085534612222537e-03 -7.944552168918965962e-05
3.350000000000000000e+02 -3.557314845357156027e-03 2.090221017738701746e-03 -7.276048936816642023e-05
3.450000000000000000e+02 -3.307995873622116695e-03 2.054170934519198265e-03 -6.250861415458252841e-05
3.550000000000000000e+02 -3.240484408606164601e-03 2.107358212585681411e-03 -5.279531758824725725e-05
3.650000000000000000e+02 -3.218662521978517439e-03 2.333521770508780770e-03 -5.844466432843682999e-05
3.750000000000000000e+02 -3.146560466465387652e-03 2.214310733116251883e-03 -6.263292986408347041e-05
3.850000000000000000e+02 -3.207532443142017357e-03 2.113746078867932698e-03 -6.426904726987451514e-05
3.950000000000000000e+02 -3.133949139797527744e-03 2.096871098349515749e-03 -6.915933285232235756e-05
4.050000000000000000e+02 -3.189028973751636183e-03 2.231093718843561030e-03 -6.959369616620641075e-05
4.150000000000000000e+02 -3.055225749271270851e-03 2.291742202682582781e-03 -5.455187564318803804e-05
4.250000000000000000e+02 -3.095258215921018515e-03 2.199369106408278953e-03 -5.723311491889192677e-05
4.350000000000000000e+02 -2.898467653409017488e-03 1.978919308435889233e-03 -4.271501059201699617e-05
4.450000000000000000e+02 -2.764073301977817889e-03 1.922585748097299044e-03 -3.682082050720387052e-05
4.550000000000000000e+02 -2.584822604765737997e-03 1.998939723865905509e-03 -2.983192231065559972e-05
4.650000000000000000e+02 -2.542921958236285529e-03 2.010420979760927512e-03 -2.682286809158614495e-05
4.750000000000000000e+02 -2.630724975190175657e-03 1.992290998560807252e-03 -2.088521374399996807e-05
4.850000000000000000e+02 -2.606841156008727570e-03 1.957632460541209717e-03 -2.698589392173101031e-05
4.950000000000000000e+02 -2.652768833681768811e-03 2.023563918931637739e-03 -2.484319567186117297e-05
5.050000000000000000e+02 -2.483866420168608612e-03 2.159564308419831442e-03 -1.906609725247359821e-05
5.150000000000000000e+02 -2.470280657435662813e-03 2.079920372654290965e-03 -2.686588170743865248e-05
5.250000000000000000e+02 -2.435729828072635827e-03 1.931998571722580828e-03 -1.844846090866897193e-05
5.350000000000000000e+02 -2.190653030407010548e-03 2.044847802326401308e-03 -2.581847022395937185e-05
5.450000000000000000e+02 -2.308153378374411951e-03 2.285409971146608842e-03 -2.752900466773388488e-05
5.550000000000000000e+02 -2.134520110169771737e-03 1.973759620101474353e-03 -2.820655699080499079e-05
5.650000000000000000e+02 -2.073592167737540841e-03 1.886630539956158596e-03 -2.143634500836068935e-05
5.750000000000000000e+02 -2.282565931393824767e-03 1.928165612956842315e-03 -2.183267835372721159e-05
5.850000000000000000e+02 -2.443361333928657959e-03 1.966077610585517145e-03 -2.608961536554643259e-05
5.950000000000000000e+02 -2.171434640642982538e-03 2.078149708031193626e-03 -3.476949625584357305e-05
6.050000000000000000e+02 -1.887560914040520722e-03 1.947073132791331436e-03 -4.500374362574176295e-05
6.150000000000000000e+02 -1.943190732646671651e-03 1.944516199055480298e-03 -5.106274876977904252e-05
6.250000000000000000e+02 -1.783362829711424707e-03 1.856985282297603929e-03 -4.866531165724717183e-05
6.350000000000000000e+02 -1.762179554753551258e-03 1.690369992053363662e-03 -4.436660102108890366e-05
6.450000000000000000e+02 -1.674837998159955715e-03 1.749684891433545084e-03 -5.118322943618122976e-05
6.550000000000000000e+02 -1.750721146562401109e-03 1.879161177985096999e-03 -5.736754323148084351e-05
6.650000000000000000e+02 -1.833521362860373975e-03 1.904112122369217312e-03 -7.064342131180358119e-05
6.750000000000000000e+02 -2.109923896254265775e-03 2.068412795298010549e-03 -9.180917023338347558e-05
6.850000000000000000e+02 -2.692321084192479501e-03 2.294005758284339402e-03 -1.436698206220677720e-04
6.950000000000000000e+02 -2.989889487496831012e-03 2.865428308337220498e-03 -2.405445170737319281e-04
7.050000000000000000e+02 -2.765181490333379170e-03 3.080951163557972897e-03 -3.524458039239178374e-04
7.150000000000000000e+02 -2.895725897465995652e-03 3.229819589485451864e-03 -4.405383954150286579e-04
7.250000000000000000e+02 -3.167487539927645208e-03 3.485948632858294413e-03 -5.090275266794817149e-04
7.350000000000000000e+02 -3.307324179558303497e-03 3.406805024631987585e-03 -5.007792905458301495e-04
7.450000000000000000e+02 -3.213255442909932185e-03 3.411513936703344796e-03 -4.629905972198602461e-04
