# z u v w uhoriz
6.950000000000000000e+02 -1.063838299799572873e+01 -3.278765799266313508e+00 7.599314674539496698e-09 1.113218298351599422e+01
7.050000000000000000e+02 -1.078673409303845787e+01 -3.090803258179902091e+00 7.806176462830375040e-09 1.122081535249082052e+01
7.150000000000000000e+02 -1.092504720437733923e+01 -2.879066556999518856e+00 7.870927367138281301e-09 1.129803879695525559e+01
7.250000000000000000e+02 -1.106336054754344467e+01 -2.667331197665285814e+00 7.757781113202358859e-09 1.138036037755304619e+01
7.350000000000000000e+02 -1.120166814476637640e+01 -2.455595200215247242e+00 7.605447032303614294e-09 1.146766397366063117e+01
7.450000000000000000e+02 -1.133998648815942722e+01 -2.243849541935631464e+00 7.494330308935425216e-09 1.155985096437160387e+01
7.550000000000000000e+02 -1.147584771030211748e+01 -2.032819761909903988e+00 7.480877227899321260e-09 1.165450285745633252e+01
7.650000000000000000e+02 -1.160924705682849023e+01 -1.822517956180093490e+00 7.504900270570243599e-09 1.175143348392355946e+01
7.750000000000000000e+02 -1.174264807127704380e+01 -1.612210136984170816e+00 7.356897240715136319e-09 1.185280579658930300e+01
7.850000000000000000e+02 -1.187603082546140776e+01 -1.401913583416057874e+00 7.543811238459159358e-09 1.195848944736232156e+01
7.950000000000000000e+02 -1.200940881748551092e+01 -1.191638010692669836e+00 7.852829089290032061e-09 1.206838436966714845e+01
8.050000000000000000e+02 -1.212997244578768452e+01 -9.849322718152234701e-01 8.314208361229491598e-09 1.216989412918746716e+01
8.150000000000000000e+02 -1.223771869407245205e+01 -7.817930859294401902e-01 8.194989980722979390e-09 1.226266525941475116e+01
8.250000000000000000e+02 -1.234544086979664179e+01 -5.786734763045640051e-01 8.023589845929265900e-09 1.235899564130611950e+01
8.350000000000000000e+02 -1.245316963573340452e+01 -3.755581382247314970e-01 7.702624862115581997e-09 1.245883132125719506e+01
8.450000000000000000e+02 -1.256090351105333447e+01 -1.724443857890107235e-01 7.282643471141591901e-09 1.256208717053747037e+01
8.550000000000000000e+02 -1.266869276026656799e+01 3.073054290523400886e-02 6.853546365317855333e-09 1.266873003186577407e+01
8.650000000000000000e+02 -1.277654430265459418e+01 2.339762242419716198e-01 6.384039612326770897e-09 1.277868652057816590e+01
8.750000000000000000e+02 -1.288439937038319272e+01 4.372217682395111993e-01 5.987530254805074372e-09 1.289181562116652735e+01
8.850000000000000000e+02 -1.299224891518378122e+01 6.404607103905066712e-01 5.454752651561348513e-09 1.300802528424849314e+01
8.950000000000000000e+02 -1.310011671220125962e+01 8.436998197506775377e-01 5.053996897456387320e-09 1.312725741574157112e+01
9.050000000000000000e+02 -1.321327610817435882e+01 1.043829355594482866e+00 4.852438357421630861e-09 1.325444247165651745e+01
9.150000000000000000e+02 -1.333174442626410361e+01 1.240825366633114601e+00 4.962868508645225836e-09 1.338936357851649994e+01
9.250000000000000000e+02 -1.345021680154609456e+01 1.437826731046616180e+00 5.144567206081757862e-09 1.352685025115252238e+01
9.350000000000000000e+02 -1.356868383064808725e+01 1.634831870287672961e+00 4.805637098788690223e-09 1.366681587423344091e+01
9.450000000000000000e+02 -1.368715582741273629e+01 1.831829795012426265e+00 5.431048268898900309e-09 1.380919385922920917e+01
9.550000000000000000e+02 -1.380725117572693073e+01 2.027990827404677177e+00 6.393807746822524618e-09 1.395539078011254475e+01
9.650000000000000000e+02 -1.392896688939922889e+01 2.223306662690554880e+00 8.089444703774297733e-09 1.410529018213890673e+01
9.750000000000000000e+02 -1.405068328554375867e+01 2.418619321965651103e+00 8.071817963972144420e-09 1.425732864933835842e+01
9.850000000000000000e+02 -1.417240907878886169e+01 2.613948865357399232e+00 8.097584999132376058e-09 1.441145057817706920e+01
9.950000000000000000e+02 -1.429413244072649469e+01 2.809272457349395236e+00 7.784936171257317738e-09 1.456757474573758593e+01
1.005000000000000000e+03 -1.441568770979691294e+01 3.004638203947088027e+00 7.311749300605651604e-09 1.472548480977818741e+01
1.015000000000000000e+03 -1.453708493841172711e+01 3.200060252222898693e+00 6.736316169860326684e-09 1.488513433343663017e+01
1.025000000000000000e+03 -1.465848881118964897e+01 3.395485423993316765e+00 6.115183485315896642e-09 1.504661475190759390e+01
1.035000000000000000e+03 -1.477988595830262675e+01 3.590904124985776935e+00 5.503457955146425886e-09 1.520985277296499660e+01
1.045000000000000000e+03 -1.490128391596847379e+01 3.786325107130926071e+00 4.863743690170510975e-09 1.537480146737481412e+01
1.055000000000000000e+03 -1.501442093524194377e+01 3.966471214524780464e+00 4.314011689997256610e-09 1.552951158009437371e+01
1.065000000000000000e+03 -1.511928881599772545e+01 4.131327743518198758e+00 3.890830176962869762e-09 1.567356893709652432e+01
1.075000000000000000e+03 -1.522416567319901404e+01 4.296195626543977575e+00 3.651653082977041190e-09 1.581873943481422984e+01
1.085000000000000000e+03 -1.532902673632457713e+01 4.461051845801570437e+00 3.490426527831869413e-09 1.596496302074900875e+01
1.095000000000000000e+03 -1.543389453687442625e+01 4.625907974479914309e+00 3.216473144641315056e-09 1.611223526279700025e+01
1.105000000000000000e+03 -1.553161710226244452e+01 4.777986037486779303e+00 3.230931842469913390e-09 1.624993170403217135e+01
