# z uT vT wT
1.015000000000000000e+03 3.034025092847788792e-04 5.571939485663287943e-03 -4.298612416650252543e-04
1.025000000000000000e+03 -1.072547304927698193e-03 5.816193232817394587e-03 -5.094879377551167054e-04
1.035000000000000000e+03 -2.280167149458479058e-03 7.951656769507178119e-03 -5.856338731991835413e-04
1.045000000000000000e+03 -2.080260045353066363e-03 9.028764033194896371e-03 -3.992516949726530916e-04
1.055000000000000000e+03 -6.514172637915917070e-04 7.585261013643086921e-03 -1.232548616353221151e-04
1.065000000000000000e+03 4.081728644912808557e-04 5.873029714016727784e-03 2.000135092455252220e-04
1.075000000000000000e+03 7.552863079004953342e-04 5.019928256821656713e-03 5.158229606758034293e-04
1.085000000000000000e+03 8.891362241566242580e-04 4.623186852154381396e-03 5.231665854533142307e-04
1.095000000000000000e+03 7.635638944144077520e-04 3.983798482157165088e-03 5.169987076683824024e-04
1.105000000000000000e+03 7.419465112058340125e-04 3.275484388026900923e-03 4.971447421999589718e-04
1.115000000000000000e+03 8.419421424028681808e-04 3.037890269645862618e-03 4.345493585583353152e-04
1.125000000000000000e+03 9.677652229333250002e-04 2.889184733825986891e-03 3.481617430155884438e-04
1.135000000000000000e+03 9.180819294644860162e-04 2.510558848354036299e-03 1.264581581293414635e-04
1.145000000000000000e+03 6.125270325702663341e-04 2.122756637772749057e-03 -1.009193844805307333e-04
1.155000000000000000e+03 2.807052353354878762e-04 1.874051254463001944e-03 -1.630615925538692697e-04
1.165000000000000000e+03 1.031061197081903125e-04 1.804200749419284169e-03 -1.174938953952491780e-04
1.175000000000000000e+03 6.636150637910273598e-05 1.826731802868150276e-03 -7.657850087808225326e-05
1.185000000000000000e+03 1.072829598717273158e-04 1.889855087189890471e-03 -5.770869338958436708e-05
1.195000000000000000e+03 1.776079297864864733e-04 1.943428448820455927e-03 -7.913293029550882746e-05
1.205000000000000000e+03 2.002261339769763132e-04 1.996097270560681126e-03 -1.501376730503124258e-04
1.215000000000000000e+03 1.274957373581934767e-04 2.065356542054956005e-03 -2.240342627721472659e-04
1.225000000000000000e+03 4.065541864208973728e-06 2.205390709750332506e-03 -2.892603525224677653e-04
1.235000000000000000e+03 -1.068734825595283114e-04 2.437291204141274047e-03 -3.678826564128085883e-04
1.245000000000000000e+03 -1.566130548262602577e-04 2.689458873445704258e-03 -4.405011422828373569e-04
1.255000000000000000e+03 -1.425002502228993610e-04 2.882799458592452332e-03 -4.791314571499318865e-04
1.265000000000000000e+03 -1.077760980377840468e-04 2.975434897115953031e-03 -5.025566485656080429e-04
1.275000000000000000e+03 -5.398564962227198321e-05 3.010163109059873273e-03 -5.330833887012057220e-04
1.285000000000000000e+03 3.510913477395609996e-05 3.121750981735059959e-03 -5.380102088259619553e-04
1.295000000000000000e+03 4.423410611427053317e-04 2.479711910982430444e-03 -4.416489392578957411e-04
1.305000000000000000e+03 8.215734611804366427e-04 1.265353853090407871e-03 -2.965817270888004885e-04
1.315000000000000000e+03 8.219680194043383400e-04 8.027579463239433322e-04 -2.023877927010876850e-04
1.325000000000000000e+03 7.799436633506327344e-04 7.784112111168905827e-04 -1.458586370093009513e-04
1.335000000000000000e+03 7.779496823343452772e-04 7.272559653801174279e-04 -1.378516795888197672e-04
1.345000000000000000e+03 7.694726838991031419e-04 6.611790431503125533e-04 -1.387899768694007211e-04
1.355000000000000000e+03 7.668029834512622885e-04 5.779922557900908685e-04 -1.345857581521861046e-04
1.365000000000000000e+03 7.798741931807866420e-04 5.214814997754684770e-04 -1.579073874202342037e-04
1.375000000000000000e+03 7.839088063209276053e-04 4.750929173866273139e-04 -1.796504931220508727e-04
1.385000000000000000e+03 7.643928781707371063e-04 4.219006055673726234e-04 -1.743447676439025961e-04
1.395000000000000000e+03 7.211035831162984763e-04 3.620703331789457851e-04 -1.614919645967664646e-04
1.405000000000000000e+03 6.512740410966668400e-04 2.982021582196130996e-04 -1.415365931511287944e-04
1.415000000000000000e+03 5.710827365617220878e-04 2.472635170612766690e-04 -1.166633810263865533e-04
1.425000000000000000e+03 4.966773696972179904e-04 2.108895202513927402e-04 -9.956809547895334954e-05
1.435000000000000000e+03 4.314529338732739881e-04 1.813833567996712103e-04 -8.191868151998815976e-05
1.445000000000000000e+03 3.756563656390950472e-04 1.609557505253566049e-04 -6.571721184999096757e-05
1.455000000000000000e+03 3.235509053141785263e-04 1.508666752168307597e-04 -5.888084497597877263e-05
1.465000000000000000e+03 2.723802905896742488e-04 1.477922408626541732e-04 -4.471450411378835750e-05
1.475000000000000000e+03 2.266457710068461862e-04 1.529479123552735897e-04 -2.492300095498445551e-05
1.485000000000000000e+03 1.870701099378102215e-04 1.644382369228258541e-04 -1.529097737754559700e-05
1.495000000000000000e+03 1.545247834919563309e-04 1.738130340480475956e-04 -9.112492516942465563e-06
1.505000000000000000e+03 1.341505033390194795e-04 1.778568811004701991e-04 -4.681035642144217590e-06
1.515000000000000000e+03 1.219228623574891582e-04 1.779908454088378737e-04 -4.721987337906466682e-06
1.525000000000000000e+03 1.055583463876248496e-04 1.733706758562608512e-04 -1.599105448631453250e-06
1.535000000000000000e+03 8.240300372418601590e-05 1.664517527546639634e-04 4.654972542131794973e-06
1.545000000000000000e+03 4.942292919042295078e-05 1.630238983468470398e-04 1.695084738049376167e-05
1.555000000000000000e+03 3.180998227684674244e-06 1.657608484051058923e-04 3.968410139476729226e-05
1.565000000000000000e+03 -4.859865436614950733e-05 1.776637838721449787e-04 6.493959858790554344e-05
1.575000000000000000e+03 -9.511716255604503142e-05 1.988356262905217658e-04 8.261112249602212739e-05
1.585000000000000000e+03 -1.267444289445022099e-04 2.360358854233452646e-04 9.064468201718223997e-05
1.595000000000000000e+03 -1.823294774718637321e-04 2.292592814914172473e-04 1.103338726517486077e-04
