# z u v w uhoriz
4.250000000000000000e+02 -6.490280202462204606e+00 -5.180477801107890024e+00 -1.415768330198169487e-08 8.304281266566329478e+00
4.350000000000000000e+02 -6.673381757176088058e+00 -5.031352364671688449e+00 -1.422120078207428797e-08 8.357543340868655690e+00
4.450000000000000000e+02 -6.856494305282472723e+00 -4.882210642586104044e+00 -1.422736160369318118e-08 8.417095396688337061e+00
4.550000000000000000e+02 -7.031584202129894656e+00 -4.732889787114510582e+00 -1.446556679495034808e-08 8.476049913055936358e+00
4.650000000000000000e+02 -7.198689615174378886e+00 -4.583467533020508355e+00 -1.419610208275301422e-08 8.534008835352382860e+00
4.750000000000000000e+02 -7.365792572692230422e+00 -4.434028001647025263e+00 -1.373891601770199383e-08 8.597412665640630891e+00
4.850000000000000000e+02 -7.532869177936293070e+00 -4.284559635908809838e+00 -1.293450618725875614e-08 8.666116161554819897e+00
4.950000000000000000e+02 -7.699962392238878905e+00 -4.135142047389923192e+00 -1.291199804468270464e-08 8.740069827752247278e+00
5.050000000000000000e+02 -7.845094017068982239e+00 -4.001546620013690436e+00 -1.278973062478192338e-08 8.806694924249081069e+00
5.150000000000000000e+02 -7.968259640931512067e+00 -3.883899504501214128e+00 -1.265506486011980519e-08 8.864414084775303238e+00
5.250000000000000000e+02 -8.091411233203515962e+00 -3.766282176699536244e+00 -1.255725443669885015e-08 8.925010766342897028e+00
5.350000000000000000e+02 -8.214554153796548519e+00 -3.648612305470772643e+00 -1.232908155900325492e-08 8.988396503341899546e+00
5.450000000000000000e+02 -8.337726712679762286e+00 -3.530971780613972211e+00 -1.215500558112504747e-08 9.054581627597482196e+00
5.550000000000000000e+02 -8.448634428509453898e+00 -3.422828052882750605e+00 -1.188449282801611832e-08 9.115655521474929301e+00
5.650000000000000000e+02 -8.547306301951261176e+00 -3.324181228076230177e+00 -1.185723444302466484e-08 9.170966462509287709e+00
5.750000000000000000e+02 -8.646003137965085017e+00 -3.225525375250677396e+00 -1.159725038940052910e-08 9.228075867053115999e+00
5.850000000000000000e+02 -8.744666878136197141e+00 -3.126898046060627934e+00 -1.098107270592523291e-08 9.286909615153472686e+00
5.950000000000000000e+02 -8.843326727368955531e+00 -3.028276152014562683e+00 -9.784278012686425452e-09 9.347453346225282900e+00
6.050000000000000000e+02 -8.939774100813952629e+00 -2.917784310608667830e+00 -8.513514343982475326e-09 9.403883573121161632e+00
6.150000000000000000e+02 -9.033974207110476939e+00 -2.795443876860385757e+00 -8.446087290867846325e-09 9.456595393872659017e+00
6.250000000000000000e+02 -9.128141149313741209e+00 -2.673119107661790395e+00 -5.972959932491923697e-09 9.511494446486384646e+00
6.350000000000000000e+02 -9.222341323636388921e+00 -2.550809861151688729e+00 -2.934808180683626602e-09 9.568605459386445133e+00
6.450000000000000000e+02 -9.316550252107182573e+00 -2.428467543069453338e+00 2.847353038788194044e-09 9.627853509883715688e+00
6.550000000000000000e+02 -9.410263276750395534e+00 -2.301869899433796718e+00 4.254390999038136327e-09 9.687706641495521964e+00
6.650000000000000000e+02 -9.503545273778197355e+00 -2.171067058902830915e+00 5.732538278332868271e-09 9.748379606119414120e+00
6.750000000000000000e+02 -9.596834960941851733e+00 -2.040239036472768053e+00 6.651160239456538459e-09 9.811310646060654506e+00
6.850000000000000000e+02 -9.690108980486661139e+00 -1.909392354067359410e+00 7.239760747914942849e-09 9.876436159641752255e+00
6.950000000000000000e+02 -9.783378357796161495e+00 -1.778539954625325326e+00 7.607841306318308333e-09 9.943726487690264904e+00
7.050000000000000000e+02 -9.878417547281921784e+00 -1.626088898329455246e+00 7.821043139872782144e-09 1.001135846644788074e+01
7.150000000000000000e+02 -9.975147145190410569e+00 -1.452110904659221990e+00 7.930576417414951712e-09 1.008028703200611353e+01
7.250000000000000000e+02 -1.007185552245462112e+01 -1.278125810119823180e+00 7.914166557286496617e-09 1.015262917926652619e+01
7.350000000000000000e+02 -1.016857394792195635e+01 -1.104100241843606112e+00 7.861096148846763080e-09 1.022833972247677359e+01
7.450000000000000000e+02 -1.026533232908796478e+01 -9.300666678424626133e-01 7.827947157463426876e-09 1.030737948429425543e+01
7.550000000000000000e+02 -1.036211710055212265e+01 -7.542294191363183575e-01 7.849830912274680193e-09 1.038952996156445074e+01
7.650000000000000000e+02 -1.045899505757138215e+01 -5.766088435487362052e-01 7.888106755269177897e-09 1.047487734404375814e+01
7.750000000000000000e+02 -1.055585392270713108e+01 -3.989210382137157729e-01 7.803050930617653759e-09 1.056338913570171556e+01
7.850000000000000000e+02 -1.065268245450749696e+01 -2.212878797148272736e-01 7.938921088588896688e-09 1.065498061013160935e+01
7.950000000000000000e+02 -1.074953690176781151e+01 -4.369237671490831809e-02 8.152914415854490855e-09 1.074962569703014914e+01
8.050000000000000000e+02 -1.084959625020897001e+01 1.609588964669438904e-01 8.465952596391992967e-09 1.085079013523441027e+01
8.150000000000000000e+02 -1.095280839733629641e+01 3.925694075249481219e-01 8.389081963628351854e-09 1.095984135507831958e+01
8.250000000000000000e+02 -1.105601788745605774e+01 6.241776654440021055e-01 8.269658050897611690e-09 1.107362313273245924e+01
