# f, Suu, Svv, Sww
2.707769214746927680e-02 1.981972253673804696e+00 1.200295434992235677e+00 6.946731552287478406e-01
2.749427202666111097e-02 2.126786751430586708e+00 1.251365562427601663e+00 5.737168449786742563e-01
2.791085190585294862e-02 1.263194210730550715e+00 1.188671928100845987e+00 3.577798414997810372e-01
2.832743178504478279e-02 1.277653525515996646e+00 1.290514720249958280e+00 6.779169904349943154e-01
2.874401166423661697e-02 1.094669437718754246e+00 1.700556597672522097e+00 6.931555534199214108e-01
2.916059154342845114e-02 1.538555124407598784e+00 9.505080252818624009e-01 6.692356308822527966e-01
2.957717142262028878e-02 1.621581989019310832e+00 1.258816863181010604e+00 1.047775132049812763e+00
2.999375130181212296e-02 1.994372269580505730e+00 1.148767897243353708e+00 6.633514522357919496e-01
3.041033118100395713e-02 1.156253604704562177e+00 5.181619288257820477e-01 8.249632845115500990e-01
3.082691106019579130e-02 1.552896104806509969e+00 1.303349011100845667e+00 5.239988479136843402e-01
3.124349093938762895e-02 1.510134744142288987e+00 1.434381831415541875e+00 5.697320619354745430e-01
3.166007081857945965e-02 2.030193717117688479e+00 1.703932313495923667e+00 9.543667683645588040e-01
3.207665069777129729e-02 1.813295461657559171e+00 1.552980523109110500e+00 7.886766988541359380e-01
3.249323057696313494e-02 1.454450416617994346e+00 1.219963488843945232e+00 5.578730224851715658e-01
3.290981045615496564e-02 1.736952146539789243e+00 9.811864653616173548e-01 9.407716317436314313e-01
3.332639033534680328e-02 1.330332239597068700e+00 7.594925213759946558e-01 5.592885959237547944e-01
3.374297021453864093e-02 1.195231217926566281e+00 8.478130447271614578e-01 6.972080471251864697e-01
3.415955009373047163e-02 1.513528160555403179e+00 1.360051322191906165e+00 5.940877991307808026e-01
3.457612997292230927e-02 1.762930395505152514e+00 1.348451344052073564e+00 7.814096560787047174e-01
3.499270985211413998e-02 1.212581351323217538e+00 9.641312266220078975e-01 8.829240487585724440e-01
3.540928973130597762e-02 1.019456874042699246e+00 1.020669806081758946e+00 9.500905483629747961e-01
3.582586961049781527e-02 7.621237152372740686e-01 1.417940673749373159e+00 4.610738777934494381e-01
3.624244948968964597e-02 1.149314796875683165e+00 1.124100846478648830e+00 5.391678498854921564e-01
3.665902936888148361e-02 1.926552115458851633e+00 1.262388031601683114e+00 7.858003141827899496e-01
3.707560924807332126e-02 1.248651000015381651e+00 1.406149330772832773e+00 9.066012687031343997e-01
3.749218912726515196e-02 1.138426435087982469e+00 1.266766979357551115e+00 8.770113655422383525e-01
3.790876900645698960e-02 1.065428511879101370e+00 1.058063585589610112e+00 7.632184044729233285e-01
3.832534888564882031e-02 1.125252321995560134e+00 5.121023250694094475e-01 5.369251265892638347e-01
3.874192876484065795e-02 1.385290589295855135e+00 9.284363238490678238e-01 8.665543112789859670e-01
3.915850864403249559e-02 1.405221952031685317e+00 9.951473872050140557e-01 8.127892102030855881e-01
3.957508852322432630e-02 9.456971898761943329e-01 8.870018704332787163e-01 4.985708492390799051e-01
3.999166840241616394e-02 1.285399296806303715e+00 8.274926481029626357e-01 8.046328213050151223e-01
4.040824828160800158e-02 1.650349242227568958e+00 8.646433647359325070e-01 9.619897200954847793e-01
4.082482816079983229e-02 1.453166934293728341e+00 9.787769416048691662e-01 5.525204810298187663e-01
4.124140803999166993e-02 1.078808060291690518e+00 9.806054983160685801e-01 4.601418284027946060e-01
4.165798791918350064e-02 1.315997384958565330e+00 1.059959900685877976e+00 5.915498368663301143e-01
4.207456779837533828e-02 1.029993664741148951e+00 7.567777500688873671e-01 4.993461631375199494e-01
