# f, Suu, Svv, Sww
1.444444444444444378e-02 5.527703170183015935e+00 1.498560213075428527e+00 5.265877418225114459e-01
1.499999999999999944e-02 4.986155070037600723e+00 1.028018692112235621e+00 5.201676196822236919e-01
1.555555555555555511e-02 2.426966856947176954e+00 1.662070414690994813e+00 2.084125403125582365e-01
1.611111111111111077e-02 4.596273274329391256e+00 2.108254913035443767e+00 4.537502079259315702e-01
1.666666666666666644e-02 4.676021061546914659e+00 1.907281763623380311e+00 4.632064282318778536e-01
1.722222222222222210e-02 6.521294299551285256e+00 1.374932298576947431e+00 3.013441109881382918e-01
1.777777777777777776e-02 4.369433249875563696e+00 3.056329291802911907e+00 3.104098960188069189e-01
1.833333333333333343e-02 3.624949805530234492e+00 1.857694815372296526e+00 4.047209501347868166e-01
1.888888888888888909e-02 3.075145149689815227e+00 1.970958006098123327e+00 1.442342003877687961e-01
1.944444444444444475e-02 2.141072759129452496e+00 2.387213378254493978e+00 2.124432871124077304e-01
2.000000000000000042e-02 3.179730959316930949e+00 1.747028540875540381e+00 3.128364244831006724e-01
2.055555555555555608e-02 4.466690529463569703e+00 1.807778180555698722e+00 6.193807355661944403e-01
2.111111111111111174e-02 2.512212368277160657e+00 1.156162750791920768e+00 5.314645033086096149e-01
2.166666666666666741e-02 1.816736593783121911e+00 1.096199348933625473e+00 3.918644916537681877e-01
2.222222222222222307e-02 2.211688754586150107e+00 1.375028782127691418e+00 3.801228280937557491e-01
2.277777777777777873e-02 2.450964678333442226e+00 1.746370290420252713e+00 3.019930025517602035e-01
2.333333333333333440e-02 3.368609693604685873e+00 1.226748940574246216e+00 4.350456046820904699e-01
2.388888888888889006e-02 1.984147665530768379e+00 2.387850712446402124e+00 4.490237685384949606e-01
2.444444444444444572e-02 1.927762266187731388e+00 1.003582716557360310e+00 2.381810784509102441e-01
2.500000000000000139e-02 3.044206328101911829e+00 2.113397344699212255e+00 3.733396940333610914e-01
2.555555555555555705e-02 1.496330452055746996e+00 1.249780423800763485e+00 4.604707740496053470e-01
2.611111111111111271e-02 2.744248932362735705e+00 1.383736343916715628e+00 2.940144012494831371e-01
2.666666666666666838e-02 3.233343463295437648e+00 1.210886310224365214e+00 3.954293679884607893e-01
2.722222222222222057e-02 2.571183051521298779e+00 1.411555913994269940e+00 5.699236359751315151e-01
2.777777777777777624e-02 2.271922966410369948e+00 1.346706918383733020e+00 3.845724671886374124e-01
2.833333333333333190e-02 1.133988978287483906e+00 1.234990698728334557e+00 3.240348195870557668e-01
2.888888888888888756e-02 2.269910454039667069e+00 6.987836642234790396e-01 3.842374340782195863e-01
2.944444444444444323e-02 2.190385131938624497e+00 1.039115919747880090e+00 2.943239117142176786e-01
2.999999999999999889e-02 2.678445397102204417e+00 6.782419366634042657e-01 5.055661824270948346e-01
3.055555555555555455e-02 2.033822333642483215e+00 2.016966458221932434e+00 3.227236233074081140e-01
3.111111111111111022e-02 1.403359883104615680e+00 8.254364289558355772e-01 4.229510561392210155e-01
3.166666666666666935e-02 1.203897931294340085e+00 1.464785258651996269e+00 2.601009684030404223e-01
3.222222222222222154e-02 2.387008709602056911e+00 1.191185449964349052e+00 2.698136818490212696e-01
3.277777777777778068e-02 1.482196146524534797e+00 1.005591128635442866e+00 8.664279567648142111e-02
3.333333333333333287e-02 1.814207219130614668e+00 1.168924953076631912e+00 3.597540057282614390e-01
