# z, u, v, w, u_mag
4.218750000000000000e+02 1.032284685631274890e+01 1.818780525238944401e+00 5.600406490642687333e-05 1.048184763378453432e+01
4.322916666670000154e+02 1.036769579154131371e+01 1.782948379978465780e+00 1.238834479801858581e-04 1.051988692675027259e+01
4.427083333329999846e+02 1.041362148596431503e+01 1.744852688390126749e+00 1.868056842941974080e-04 1.055878891526485042e+01
4.531250000000000000e+02 1.046083485503394606e+01 1.701748317496172502e+00 2.840704835084314627e-04 1.059834955077412744e+01
4.635416666670000154e+02 1.050786793576194178e+01 1.654701830614485170e+00 2.408939841800802591e-04 1.063735524948061872e+01
4.739583333329999846e+02 1.055276914069522576e+01 1.600872670222520444e+00 4.187900834772419851e-04 1.067350597709463145e+01
4.843750000000000000e+02 1.059976297342158347e+01 1.539406596023819906e+00 6.340241899401667441e-04 1.071096390436457568e+01
4.947916666670000154e+02 1.064603145470231560e+01 1.468292258235785575e+00 1.225288525408607622e-03 1.074680733474394501e+01
5.052083333329999846e+02 1.069148696466645809e+01 1.382106188870051211e+00 8.196525411203124363e-04 1.078045040955829847e+01
5.156250000000000000e+02 1.073242547017107640e+01 1.280422207891935393e+00 7.824450386488636172e-04 1.080853540047122685e+01
5.260416666669999586e+02 1.076697732003941077e+01 1.155156409459360489e+00 -1.640150436605649579e-04 1.082876663986061239e+01
5.364583333330000414e+02 1.078507372895819749e+01 1.008329440782598674e+00 -2.892772371621425958e-03 1.083210707112024629e+01
5.468750000000000000e+02 1.077421200523461131e+01 8.411789678239480761e-01 -7.243436972019830743e-03 1.080699895390255705e+01
5.572916666669999586e+02 1.071946383412197434e+01 6.620058304658407167e-01 -3.967984595497455087e-03 1.073988624756425203e+01
5.677083333330000414e+02 1.061836502333099475e+01 4.839291973640006406e-01 -2.402014528688268570e-03 1.062938677613908212e+01
5.781250000000000000e+02 1.048659430344679677e+01 3.274624411155304671e-01 7.455035041853845523e-03 1.049170585440823977e+01
5.885416666669999586e+02 1.034480228847538008e+01 2.045013167423116451e-01 3.941890433015796916e-04 1.034682343408810645e+01
5.989583333330000414e+02 1.021747393802600179e+01 1.366059201698458236e-01 2.772187935615707047e-03 1.021838709638982223e+01
6.093750000000000000e+02 1.012295028647118222e+01 1.007293474234268321e-01 -1.164859230162349759e-03 1.012345143238210809e+01
6.197916666669999586e+02 1.005276645596784668e+01 8.777740682138952810e-02 2.139011992952768743e-03 1.005314967019692851e+01
6.302083333330000414e+02 1.000861456362256519e+01 8.383522275635423016e-02 4.793841475993741025e-03 1.000896567222269518e+01
6.406250000000000000e+02 9.995158496528629755e+00 5.779951310442061480e-02 9.451974494393946061e-03 9.995325615228528804e+00
6.510416666669999586e+02 1.000170755654590060e+01 2.252072903062104017e-02 -7.236837496174250428e-03 1.000173291134608533e+01
6.614583333330000414e+02 1.001216120224031414e+01 -1.916253143840582597e-03 -1.751084816068213630e-03 1.001216138561860802e+01
6.718750000000000000e+02 1.002014801516966003e+01 -1.875588940061480650e-02 -3.375700086008558490e-03 1.002016556895621768e+01
6.822916666669999586e+02 1.002240951724338380e+01 -2.247884609399372277e-02 2.752234713927929899e-03 1.002243472564688176e+01
6.927083333330000414e+02 1.001949055102957686e+01 -1.563626147387185000e-02 -7.708262323332821251e-04 1.001950275187565609e+01
7.031250000000000000e+02 1.001126384945339964e+01 -3.051585383448015849e-03 9.863503410916694362e-04 1.001126431453819166e+01
7.135416666669999586e+02 1.000287717353527661e+01 6.620874763539494334e-03 -2.045934867495014745e-03 1.000287936470373040e+01
7.239583333330000414e+02 1.000155212356666468e+01 6.683495377779870988e-03 -4.247780599939109396e-04 1.000155435667533332e+01
7.343750000000000000e+02 1.000257723448103597e+01 3.326121979432334740e-03 -1.286811478585162937e-03 1.000257778749286786e+01
7.447916666669999586e+02 1.000334432016469144e+01 1.732318266805467962e-03 1.697971783045051539e-04 1.000334447016085626e+01
