# z, uT, vT, wT
3.281250000000000000e+02 8.132138711009940938e-04 -2.373945568803071239e-04 -5.116432815407558716e-04
3.385416666670000154e+02 8.409857723504212887e-04 -2.629907415277127152e-04 -5.241811625895226572e-04
3.489583333329999846e+02 8.703063689061285709e-04 -2.882333795427241161e-04 -5.403418190735420189e-04
3.593750000000000000e+02 9.003887942424406007e-04 -3.226718993445623239e-04 -5.528475956503054204e-04
3.697916666670000154e+02 9.308962811401750095e-04 -3.594311786435860977e-04 -5.667452925876845585e-04
3.802083333329999846e+02 9.545248131225712255e-04 -4.015750742928203120e-04 -5.795541076681070972e-04
3.906250000000000000e+02 9.861292596212035272e-04 -4.443244948558289047e-04 -5.905142114796778363e-04
4.010416666670000154e+02 1.020058305067233096e-03 -4.982581499530746010e-04 -6.036650378940524534e-04
4.114583333329999846e+02 1.056812127229767159e-03 -5.615207034802130242e-04 -6.146244785008447712e-04
4.218750000000000000e+02 1.125646148894250123e-03 -6.346970003694148241e-04 -6.243349839917193122e-04
4.322916666670000154e+02 1.187263771378957704e-03 -7.337964800357510507e-04 -6.357275133647646457e-04
4.427083333329999846e+02 1.250692158823236760e-03 -8.637043931764727938e-04 -6.422306366223497079e-04
4.531250000000000000e+02 1.339402097092644859e-03 -1.030555122365224346e-03 -6.492808304434026468e-04
4.635416666670000154e+02 1.439501537434153319e-03 -1.257729493133446586e-03 -6.537433560667217126e-04
4.739583333329999846e+02 1.572558347852111424e-03 -1.555088627621949247e-03 -6.540816788089094062e-04
4.843750000000000000e+02 1.759516663176217965e-03 -1.986989789739308874e-03 -6.542385792617456865e-04
4.947916666670000154e+02 2.008172399791854912e-03 -2.732329926427626808e-03 -6.357042823682982962e-04
5.052083333329999846e+02 2.278829377875475713e-03 -3.982655991934249025e-03 -6.172874325259185106e-04
5.156250000000000000e+02 2.530708556230938482e-03 -6.288077114796289217e-03 -5.836574385491178230e-04
5.260416666669999586e+02 2.302338718172464768e-03 -1.029544689207406542e-02 -4.970381387800625224e-04
5.364583333330000414e+02 3.232119414962657212e-04 -1.683199569219550815e-02 -4.876560686388521919e-04
5.468750000000000000e+02 -5.541323295129131979e-03 -2.579060585570303044e-02 -3.725610601140137419e-04
5.572916666669999586e+02 -1.660427366569947050e-02 -3.427275636047774632e-02 -6.926783195565731086e-04
5.677083333330000414e+02 -2.892556063923173992e-02 -3.610552081326268842e-02 -2.282236110481794490e-04
5.781250000000000000e+02 -3.528933136886194116e-02 -2.864187436966814798e-02 1.134651780188488334e-04
5.885416666669999586e+02 -3.283761448758491797e-02 -1.491177420647312769e-02 -2.003095226345417599e-04
5.989583333330000414e+02 -2.471272230922221327e-02 -3.553988070735941522e-03 -1.065281461386134520e-04
6.093750000000000000e+02 -1.692721385356684566e-02 2.277721995469216519e-03 -3.081024146417273105e-05
6.197916666669999586e+02 -1.116054321091914693e-02 4.920367952622709158e-03 -5.590980807560450049e-05
6.302083333330000414e+02 -6.310854859701476097e-03 4.078121854031857042e-03 1.771173603317096929e-04
6.406250000000000000e+02 -2.540634652694165156e-03 1.847091569734098148e-03 1.639347968012446063e-04
6.510416666669999586e+02 -7.932243400320888914e-04 8.398876644728645252e-04 1.463821688267624883e-04
6.614583333330000414e+02 -3.251179482348520050e-04 5.339674606620481044e-04 8.360031783884125064e-05
6.718750000000000000e+02 -1.771561029526130240e-04 3.379293275543362443e-04 4.460126673174301127e-05
6.822916666669999586e+02 -1.462535949413058258e-04 3.237765119379159531e-04 3.651408353096595395e-05
6.927083333330000414e+02 -1.836001187284979166e-04 4.727886643170386895e-04 -1.632587283597000230e-06
7.031250000000000000e+02 -2.463665294537499724e-04 6.709361147541100922e-04 8.519932788233580646e-06
7.135416666669999586e+02 -1.756637932309282368e-04 5.961333223632560904e-04 -3.776779861650644646e-06
7.239583333330000414e+02 -3.472686663661986805e-05 3.426480461522070321e-04 9.590464479610157132e-06
7.343750000000000000e+02 1.755854970551757757e-07 2.341810235766698587e-04 8.761254222502740565e-07
7.447916666669999586e+02 8.072510505662629950e-07 2.072434672029392806e-04 2.935907884270563430e-06
7.552083333330000414e+02 -4.911306065214698046e-07 1.839150045254271692e-04 7.983804069521534226e-06
7.656250000000000000e+02 -5.453126479190734409e-06 1.540761390189140088e-04 8.348405367318478530e-06
7.760416666669999586e+02 -8.471545080468446661e-06 1.170604827016628820e-04 -2.883694002854088382e-06
7.864583333330000414e+02 -2.247994770444720878e-05 8.671699724728193308e-05 4.242606015500011332e-06
7.968750000000000000e+02 -4.655882271459350382e-05 6.455143108628971099e-05 -7.798722355011297158e-06
8.072916666669999586e+02 -8.402387886563622359e-05 5.672450638158414672e-05 -1.061471973299368124e-06
8.177083333330000414e+02 -1.279101164295664954e-04 6.144613759434231317e-05 -1.210956441565723091e-05
8.281250000000000000e+02 -1.510965505399128979e-04 3.617323764415905174e-05 -3.614740544115880032e-06
8.385416666669999586e+02 -1.606329085981171166e-04 3.579509862634161645e-05 -6.776173927011407408e-06
8.489583333330000414e+02 -1.563758073660837845e-04 2.434719680773262291e-05 -1.423192588692077918e-05
